HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2020-12-30 22:00;2020-12-30 23:00;DK2;155,759995;20,940001
2020-12-30 21:00;2020-12-30 22:00;DK2;172,050003;23,129999
2020-12-30 20:00;2020-12-30 21:00;DK2;340,369995;45,759998
2020-12-30 19:00;2020-12-30 20:00;DK2;380,320007;51,130001
2020-12-30 18:00;2020-12-30 19:00;DK2;389,170013;52,320000
2020-12-30 17:00;2020-12-30 18:00;DK2;410,140015;55,139999
2020-12-30 16:00;2020-12-30 17:00;DK2;446,290009;60,000000
2020-12-30 15:00;2020-12-30 16:00;DK2;417,130005;56,080002
2020-12-30 14:00;2020-12-30 15:00;DK2;413,640015;55,610001
2020-12-30 13:00;2020-12-30 14:00;DK2;399,209991;53,669998
2020-12-30 12:00;2020-12-30 13:00;DK2;392,589996;52,779999
2020-12-30 11:00;2020-12-30 12:00;DK2;403,820007;54,290001
2020-12-30 10:00;2020-12-30 11:00;DK2;377,119995;50,700001
2020-12-30 09:00;2020-12-30 10:00;DK2;388,049988;52,169998
2020-12-30 08:00;2020-12-30 09:00;DK2;391,989990;52,700001
2020-12-30 07:00;2020-12-30 08:00;DK2;384,850006;51,740002
2020-12-30 06:00;2020-12-30 07:00;DK2;350,929993;47,180000
2020-12-30 05:00;2020-12-30 06:00;DK2;268,369995;36,080002
2020-12-30 04:00;2020-12-30 05:00;DK2;160,520004;21,580000
2020-12-30 03:00;2020-12-30 04:00;DK2;152,330002;20,480000
2020-12-30 02:00;2020-12-30 03:00;DK2;150,550003;20,240000
2020-12-30 01:00;2020-12-30 02:00;DK2;150,770004;20,270000
2020-12-30 00:00;2020-12-30 01:00;DK2;153,970001;20,700001
2020-12-29 23:00;2020-12-30 00:00;DK2;256,320007;34,459999
2020-12-29 22:00;2020-12-29 23:00;DK2;146,050003;19,639999
2020-12-29 21:00;2020-12-29 22:00;DK2;281,320007;37,830002
2020-12-29 20:00;2020-12-29 21:00;DK2;292,549988;39,340000
