HourUTC;HourDK;PriceArea;ForecastType;ForecastDayAhead;ForecastIntraday;Forecast5Hour;Forecast1Hour;ForecastCurrent;TimestampUTC;TimestampDK
2020-01-01 01:00;2020-01-01 02:00;DK2;Offshore Wind;118,250000;;117,583336;102,375000;79,083336;2020-01-01 01:00;2020-01-01 02:00
2020-01-01 02:00;2020-01-01 03:00;DK2;Offshore Wind;103,500000;;106,833336;81,833336;95,208336;2020-01-01 02:05;2020-01-01 03:05
2020-01-01 03:00;2020-01-01 04:00;DK2;Offshore Wind;111,125000;;104,833336;101,708336;112,208336;2020-01-01 03:10;2020-01-01 04:10
2020-01-01 04:00;2020-01-01 05:00;DK2;Offshore Wind;143,708328;;105,541664;119,666664;127,791664;2020-01-01 04:00;2020-01-01 05:00
2020-01-01 05:00;2020-01-01 06:00;DK2;Offshore Wind;158,833328;;129,833328;140,208328;155,166672;2020-01-01 05:05;2020-01-01 06:05
2020-01-01 06:00;2020-01-01 07:00;DK2;Offshore Wind;154,625000;;131,083328;144,625000;160,958328;2020-01-01 06:05;2020-01-01 07:05
2020-01-01 07:00;2020-01-01 08:00;DK2;Offshore Wind;160,625000;139,791672;140,750000;139,708328;133,625000;2020-01-01 07:00;2020-01-01 08:00
2020-01-01 08:00;2020-01-01 09:00;DK2;Offshore Wind;158,125000;126,666664;155,541672;126,666664;135,083328;2020-01-01 08:05;2020-01-01 09:05
2020-01-01 09:00;2020-01-01 10:00;DK2;Offshore Wind;151,125000;135,541672;149,791672;140,708328;118,125000;2020-01-01 09:05;2020-01-01 10:05
2020-01-01 10:00;2020-01-01 11:00;DK2;Offshore Wind;154,958328;158,791672;162,958328;151,708328;128,708328;2020-01-01 10:00;2020-01-01 11:00
2020-01-01 11:00;2020-01-01 12:00;DK2;Offshore Wind;163,583328;177,375000;180,625000;159,458328;169,125000;2020-01-01 11:05;2020-01-01 12:05
2020-01-01 12:00;2020-01-01 13:00;DK2;Offshore Wind;184,541672;192,333328;192,333328;173,125000;148,833328;2020-01-01 12:05;2020-01-01 13:05
2020-01-01 13:00;2020-01-01 14:00;DK2;Offshore Wind;214,291672;200,916672;184,375000;153,333328;133,083328;2020-01-01 13:00;2020-01-01 14:00
2020-01-01 14:00;2020-01-01 15:00;DK2;Offshore Wind;200,458328;190,250000;179,583328;140,791672;112,375000;2020-01-01 14:05;2020-01-01 15:05
