"Imbalance settlement period CET/CEST","Generation / + Imbalance price [EUR/MWh] - MBA|DK2","Generation / - Imbalance price [EUR/MWh] - MBA|DK2","Price for consumption [EUR/MWh] - MBA|DK2","Currency","Status","Total Imbalance [MWh] - MBA|DK2","Difference","Situation","Status"
"01.01.2020 00:00 - 01.01.2020 01:00","33.42","34.00","34.00","EUR","Estimated","105","","","Final"
"01.01.2020 01:00 - 01.01.2020 02:00","31.77","34.00","34.00","EUR","Estimated","48","","","Final"
"01.01.2020 02:00 - 01.01.2020 03:00","31.57","34.00","34.00","EUR","Estimated","7","","","Final"
"01.01.2020 03:00 - 01.01.2020 04:00","31.28","34.00","34.00","EUR","Estimated","263","","","Final"
"01.01.2020 04:00 - 01.01.2020 05:00","26.00","30.85","26.00","EUR","Estimated","574","","","Final"
"01.01.2020 05:00 - 01.01.2020 06:00","25.00","30.14","25.00","EUR","Estimated","794","","","Final"
"01.01.2020 06:00 - 01.01.2020 07:00","24.00","30.17","24.00","EUR","Estimated","816","","","Final"
"01.01.2020 07:00 - 01.01.2020 08:00","24.00","30.00","24.00","EUR","Estimated","721","","","Final"
"01.01.2020 08:00 - 01.01.2020 09:00","24.00","30.63","24.00","EUR","Estimated","305","","","Final"
"01.01.2020 09:00 - 01.01.2020 10:00","25.00","30.59","25.00","EUR","Estimated","394","","","Final"
"01.01.2020 10:00 - 01.01.2020 11:00","25.00","30.27","25.00","EUR","Estimated","325","","","Final"
"01.01.2020 11:00 - 01.01.2020 12:00","25.00","30.34","25.00","EUR","Estimated","179","","","Final"
"01.01.2020 12:00 - 01.01.2020 13:00","30.59","30.59","30.59","EUR","Estimated","79","","","Final"
"01.01.2020 13:00 - 01.01.2020 14:00","30.04","30.04","30.04","EUR","Estimated","101","","","Final"
"01.01.2020 14:00 - 01.01.2020 15:00","30.60","30.60","30.60","EUR","Estimated","130","","","Final"
"01.01.2020 15:00 - 01.01.2020 16:00","31.09","31.09","31.09","EUR","Estimated","103","","","Final"
"01.01.2020 16:00 - 01.01.2020 17:00","31.53","31.53","31.53","EUR","Estimated","222","","","Final"
"01.01.2020 17:00 - 01.01.2020 18:00","31.78","33.50","33.50","EUR","Estimated","370","","","Final"
"01.01.2020 18:00 - 01.01.2020 19:00","31.64","33.50","33.50","EUR","Estimated","336","","","Final"
"01.01.2020 19:00 - 01.01.2020 20:00","31.44","31.44","31.44","EUR","Estimated","219","","","Final"
"01.01.2020 20:00 - 01.01.2020 21:00","31.35","31.35","31.35","EUR","Estimated","183","","","Final"
"01.01.2020 21:00 - 01.01.2020 22:00","31.07","31.07","31.07","EUR","Estimated","59","","","Final"
"01.01.2020 22:00 - 01.01.2020 23:00","25.00","30.96","25.00","EUR","Estimated","60","","","Final"
"01.01.2020 23:00 - 02.01.2020 00:00","21.00","30.61","21.00","EUR","Estimated","146","","","Final"
"02.01.2020 00:00 - 02.01.2020 01:00","20.00","30.78","20.00","EUR","Estimated","525","","","Final"
"02.01.2020 01:00 - 02.01.2020 02:00","20.00","30.64","20.00","EUR","Estimated","516","","","Final"
"02.01.2020 02:00 - 02.01.2020 03:00","20.00","30.43","20.00","EUR","Estimated","234","","","Final"
"02.01.2020 03:00 - 02.01.2020 04:00","23.00","28.79","23.00","EUR","Estimated","140","","","Final"
"02.01.2020 04:00 - 02.01.2020 05:00","22.73","28.42","22.73","EUR","Estimated","208","","","Final"
"02.01.2020 05:00 - 02.01.2020 06:00","23.00","28.75","23.00","EUR","Estimated","252","","","Final"
"02.01.2020 06:00 - 02.01.2020 07:00","22.50","34.16","22.50","EUR","Estimated","230","","","Final"
"02.01.2020 07:00 - 02.01.2020 08:00","22.28","42.07","22.28","EUR","Estimated","228","","","Final"
"02.01.2020 08:00 - 02.01.2020 09:00","22.50","44.89","22.50","EUR","Estimated","63","","","Final"
"02.01.2020 09:00 - 02.01.2020 10:00","23.00","45.26","23.00","EUR","Estimated","2","","","Final"
"02.01.2020 10:00 - 02.01.2020 11:00","24.00","45.57","24.00","EUR","Estimated","129","","","Final"
"02.01.2020 11:00 - 02.01.2020 12:00","25.00","45.09","25.00","EUR","Estimated","106","","","Final"
"02.01.2020 12:00 - 02.01.2020 13:00","25.00","45.16","25.00","EUR","Estimated","175","","","Final"
"02.01.2020 13:00 - 02.01.2020 14:00","25.00","44.90","25.00","EUR","Estimated","201","","","Final"
"02.01.2020 14:00 - 02.01.2020 15:00","26.00","44.06","26.00","EUR","Estimated","192","","","Final"
"02.01.2020 15:00 - 02.01.2020 16:00","26.00","44.84","26.00","EUR","Estimated","254","","","Final"
"02.01.2020 16:00 - 02.01.2020 17:00","27.50","44.40","27.50","EUR","Estimated","144","","","Final"
"02.01.2020 17:00 - 02.01.2020 18:00","46.05","46.05","46.05","EUR","Estimated","159","","","Final"
"02.01.2020 18:00 - 02.01.2020 19:00","26.00","46.72","26.00","EUR","Estimated","51","","","Final"
"02.01.2020 19:00 - 02.01.2020 20:00","25.32","45.26","25.32","EUR","Estimated","15","","","Final"
"02.01.2020 20:00 - 02.01.2020 21:00","20.25","39.32","20.25","EUR","Estimated","86","","","Final"
"02.01.2020 21:00 - 02.01.2020 22:00","16.50","30.10","16.50","EUR","Estimated","108","","","Final"
"02.01.2020 22:00 - 02.01.2020 23:00","16.50","29.71","16.50","EUR","Estimated","203","","","Final"
"02.01.2020 23:00 - 03.01.2020 00:00","15.00","24.99","15.00","EUR","Estimated","174","","","Final"
"03.01.2020 00:00 - 03.01.2020 01:00","15.00","18.93","15.00","EUR","Estimated","2","","","Final"
"03.01.2020 01:00 - 03.01.2020 02:00","9.98","9.98","9.98","EUR","Estimated","47","","","Final"
"03.01.2020 02:00 - 03.01.2020 03:00","1.53","1.53","1.53","EUR","Estimated","25","","","Final"
"03.01.2020 03:00 - 03.01.2020 04:00","0.14","0.14","0.14","EUR","Estimated","3","","","Final"
"03.01.2020 04:00 - 03.01.2020 05:00","0.85","0.85","0.85","EUR","Estimated","4","","","Final"
"03.01.2020 05:00 - 03.01.2020 06:00","9.92","9.92","9.92","EUR","Estimated","180","","","Final"
"03.01.2020 06:00 - 03.01.2020 07:00","22.00","24.48","22.00","EUR","Estimated","113","","","Final"
"03.01.2020 07:00 - 03.01.2020 08:00","22.00","26.68","22.00","EUR","Estimated","152","","","Final"
"03.01.2020 08:00 - 03.01.2020 09:00","24.00","28.81","24.00","EUR","Estimated","160","","","Final"
"03.01.2020 09:00 - 03.01.2020 10:00","25.58","29.28","25.58","EUR","Estimated","125","","","Final"
"03.01.2020 10:00 - 03.01.2020 11:00","28.85","29.50","29.50","EUR","Estimated","70","","","Final"
"03.01.2020 11:00 - 03.01.2020 12:00","31.80","31.80","31.80","EUR","Estimated","33","","","Final"
"03.01.2020 12:00 - 03.01.2020 13:00","37.94","37.94","37.94","EUR","Estimated","56","","","Final"
"03.01.2020 13:00 - 03.01.2020 14:00","37.90","37.90","37.90","EUR","Estimated","56","","","Final"
"03.01.2020 14:00 - 03.01.2020 15:00","38.11","38.11","38.11","EUR","Estimated","143","","","Final"
"03.01.2020 15:00 - 03.01.2020 16:00","26.00","37.91","26.00","EUR","Estimated","179","","","Final"
"03.01.2020 16:00 - 03.01.2020 17:00","38.44","38.44","38.44","EUR","Estimated","232","","","Final"
"03.01.2020 17:00 - 03.01.2020 18:00","40.47","40.47","40.47","EUR","Estimated","182","","","Final"
"03.01.2020 18:00 - 03.01.2020 19:00","41.35","41.35","41.35","EUR","Estimated","273","","","Final"
"03.01.2020 19:00 - 03.01.2020 20:00","33.37","33.37","33.37","EUR","Estimated","201","","","Final"
"03.01.2020 20:00 - 03.01.2020 21:00","28.89","28.89","28.89","EUR","Estimated","100","","","Final"
"03.01.2020 21:00 - 03.01.2020 22:00","27.70","27.70","27.70","EUR","Estimated","111","","","Final"
"03.01.2020 22:00 - 03.01.2020 23:00","25.70","25.70","25.70","EUR","Estimated","134","","","Final"
"03.01.2020 23:00 - 04.01.2020 00:00","22.04","26.00","26.00","EUR","Estimated","94","","","Final"
"04.01.2020 00:00 - 04.01.2020 01:00","21.73","25.20","25.20","EUR","Estimated","132","","","Final"
"04.01.2020 01:00 - 04.01.2020 02:00","15.95","15.95","15.95","EUR","Estimated","238","","","Final"
"04.01.2020 02:00 - 04.01.2020 03:00","16.23","16.23","16.23","EUR","Estimated","243","","","Final"
"04.01.2020 03:00 - 04.01.2020 04:00","6.45","29.00","29.00","EUR","Estimated","93","","","Final"
"04.01.2020 04:00 - 04.01.2020 05:00","3.83","31.00","31.00","EUR","Estimated","42","","","Final"
"04.01.2020 05:00 - 04.01.2020 06:00","0.12","31.00","31.00","EUR","Estimated","7","","","Final"
"04.01.2020 06:00 - 04.01.2020 07:00","0.07","31.00","31.00","EUR","Estimated","64","","","Final"
"04.01.2020 07:00 - 04.01.2020 08:00","19.07","30.70","30.70","EUR","Estimated","29","","","Final"
"04.01.2020 08:00 - 04.01.2020 09:00","17.49","30.70","30.70","EUR","Estimated","99","","","Final"
"04.01.2020 09:00 - 04.01.2020 10:00","23.98","31.00","31.00","EUR","Estimated","77","","","Final"
"04.01.2020 10:00 - 04.01.2020 11:00","8.80","31.00","31.00","EUR","Estimated","282","","","Final"
"04.01.2020 11:00 - 04.01.2020 12:00","17.95","31.00","31.00","EUR","Estimated","88","","","Final"
"04.01.2020 12:00 - 04.01.2020 13:00","19.50","30.70","30.70","EUR","Estimated","164","","","Final"
"04.01.2020 13:00 - 04.01.2020 14:00","13.74","30.00","30.00","EUR","Estimated","90","","","Final"
"04.01.2020 14:00 - 04.01.2020 15:00","17.42","30.00","30.00","EUR","Estimated","248","","","Final"
"04.01.2020 15:00 - 04.01.2020 16:00","20.38","30.00","30.00","EUR","Estimated","165","","","Final"
"04.01.2020 16:00 - 04.01.2020 17:00","25.08","31.50","31.50","EUR","Estimated","80","","","Final"
"04.01.2020 17:00 - 04.01.2020 18:00","28.88","34.00","34.00","EUR","Estimated","18","","","Final"
"04.01.2020 18:00 - 04.01.2020 19:00","32.02","34.00","34.00","EUR","Estimated","269","","","Final"
