,ForecastCurrent
0,79.083336
1,95.208336
2,112.208336
3,127.791664
4,155.166672
5,160.958328
6,133.625
7,135.083328
8,118.125
9,128.708328
10,169.125
11,148.833328
12,133.083328
13,112.375
14,112.958336
15,124.958336
16,101.625
17,64.5
18,26.583334
19,18.25
20,25.958334
21,65.166664
22,62.333332
23,69.625
24,53.791668
25,47.041668
26,67.458336
27,65.583336
28,63.0
29,60.583332
30,64.083336
31,66.75
32,67.791664
33,74.791664
34,95.541664
35,79.625
36,88.833336
37,105.958336
38,90.25
39,105.458336
40,160.125
41,170.458328
42,192.208328
43,156.791672
44,185.125
45,219.291672
46,211.125
47,208.666672
48,193.833328
49,202.291672
50,218.041672
51,213.291672
52,214.958328
53,205.625
54,207.458328
55,208.875
56,204.083328
57,195.291672
58,193.708328
59,178.083328
60,166.5
61,144.75
62,112.041664
63,49.125
64,70.791664
65,51.291668
66,120.208336
67,187.458328
68,218.541672
69,208.916672
70,205.125
71,216.25
72,206.166672
73,210.541672
74,214.833328
75,211.625
76,212.708328
77,206.541672
78,206.291672
79,206.958328
80,203.25
81,212.583328
82,205.875
83,205.583328
84,210.625
85,210.458328
86,204.958328
87,216.125
88,202.708328
89,202.333328
90,194.958328
91,156.75
92,148.625
93,112.458336
94,65.375
95,51.666668
96,75.125
97,60.25
98,36.708332
99,54.75
100,65.791664
101,58.375
102,45.625
103,35.708332
104,18.0
105,50.916668
106,47.208332
107,68.333336
108,90.375
109,150.375
110,139.166672
111,138.583328
112,175.625
113,183.291672
114,192.833328
115,181.916672
116,187.0
117,144.416672
118,138.333328
119,115.375
120,161.625
121,154.5
122,156.0
123,149.875
124,131.291672
125,159.833328
126,164.125
127,102.875
128,128.333328
129,111.625
130,138.75
131,88.333336
132,69.416664
133,71.083336
134,48.541668
135,66.208336
136,101.833336
137,98.041664
138,93.708336
139,107.583336
140,81.25
141,107.541664
142,125.375
143,96.708336
144,104.666664
145,83.625
146,56.208332
147,28.25
148,43.041668
149,47.333332
150,71.791664
151,114.083336
152,160.708328
153,146.208328
154,159.416672
155,110.708336
156,97.416664
157,89.708336
158,102.0
159,137.75
160,143.5
161,153.666672
162,218.333328
163,223.166672
164,204.875
165,212.708328
166,208.25
167,209.958328
168,203.416672
169,203.5
170,217.25
171,203.25
172,206.375
173,201.375
174,199.041672
175,198.291672
176,185.458328
177,195.583328
178,188.375
179,161.625
180,159.333328
181,133.416672
182,157.0
183,175.875
184,156.458328
185,111.583336
186,113.708336
187,121.583336
188,72.083336
