,OffshoreWindGe100MW_MWh
0,101.880028
1,94.081429
2,111.493423
3,132.945724
4,139.176926
5,162.790833
6,161.730133
7,143.19693
8,124.398125
9,118.746628
10,152.16922
11,144.428818
12,132.372726
13,124.014626
14,104.625824
15,126.225426
16,134.167725
17,87.453018
18,48.491325
19,28.604828
20,13.575728
21,26.508625
22,47.496624
23,66.232521
24,39.359222
25,31.757423
26,55.627724
27,59.067326
28,59.678226
29,50.189224
30,44.223125
31,50.643326
32,46.223026
33,59.003025
34,77.075424
35,72.608925
36,56.679028
37,73.301025
38,74.689926
39,82.753624
40,99.599426
41,132.67392
42,179.876526
43,179.018829
44,163.283127
45,198.458527
46,202.627121
47,199.735718
48,195.39772
49,190.21933
50,201.671219
51,204.22522
52,204.235428
53,204.125122
54,204.175232
55,204.185028
56,202.18512
57,195.324829
58,186.50972
59,180.756424
60,176.198929
61,154.09053
62,135.631531
63,83.936424
64,32.763023
65,27.226727
66,51.895332
67,104.936424
68,176.603027
69,185.594528
70,197.038818
71,201.347336
72,201.915131
73,201.924927
74,201.904922
75,201.925125
76,201.945129
77,201.945129
78,201.945023
79,201.92482
80,201.904831
81,196.42923
82,199.380219
83,201.536026
84,201.945831
85,201.915726
86,201.906021
87,201.955719
88,201.935822
89,201.925827
90,201.33812
91,182.436325
92,166.743835
93,152.88443
94,91.430527
95,51.641426
96,71.540726
97,84.745628
98,46.507626
99,41.418629
100,66.416328
101,77.409531
102,59.829426
103,45.238426
104,14.276526
105,25.788925
106,33.470127
107,46.214531
108,64.244926
109,113.170425
110,152.949921
111,125.227928
112,152.420029
113,171.496628
114,180.616135
115,179.981033
116,170.112732
117,135.51152
118,140.824829
119,119.292824
120,136.991226
121,149.327225
122,153.420029
123,157.644028
124,134.01593
125,146.628433
126,159.659134
127,127.617531
128,118.050827
129,128.085022
130,132.262833
131,123.796928
132,80.112633
133,74.792526
134,62.225723
135,56.882427
136,65.220726
137,97.048233
138,90.521332
139,96.104729
140,92.712624
141,99.168625
142,114.633629
143,97.501823
144,120.129532
145,116.570831
146,73.012428
147,43.419228
148,37.549023
149,37.984524
150,46.898125
151,79.285431
152,163.166031
153,164.455124
154,168.625519
155,159.928421
156,92.139221
157,80.590729
158,84.680428
159,108.293526
160,130.774231
161,124.379524
162,180.981232
163,201.076935
164,201.825226
165,201.635223
166,201.93512
167,201.955124
168,201.955017
169,201.934921
170,201.955231
171,201.354828
172,196.990036
173,198.605423
174,197.57872
175,194.840225
176,189.043716
177,196.159622
178,196.564331
179,182.593536
180,164.108231
181,144.818924
182,144.833023
183,188.30722
184,175.327621
185,161.137222
186,126.945625
187,124.386421
188,89.505028
189,68.94223
190,54.921326
191,42.472523
192,31.519123
193,26.335926
194,11.624427
195,3.144724
196,6.044923
197,5.976023
198,17.955624
199,29.45863
200,63.651325
201,92.231125
202,102.93132
203,172.016129
204,196.263123
205,195.547226
206,195.179123
207,195.178818
208,198.252716
209,201.694321
210,200.13443
211,194.157928
212,199.305527
213,198.606323
214,175.10202
215,94.14563
216,44.684822
217,91.459221
218,96.105324
219,111.440323
220,84.823929
221,173.504425
222,39.964622
223,0.376666
224,15.706539
225,36.859516
226,126.268509
227,179.704514
228,188.358414
229,129.47821
230,95.246613
231,94.549812
232,166.656815
233,185.769211
234,147.763611
235,124.521515
236,126.747017
237,164.769516
238,150.577408
239,122.742416
240,111.510818
241,113.638321
242,103.755219
243,68.143219
244,57.690315
245,40.623417
246,18.856316
247,45.538719
248,76.187225
249,109.660721
250,164.053421
251,184.006119
252,193.229324
253,197.807922
254,200.795212
255,201.615021
256,201.954712
257,201.955017
258,201.974823
259,201.955017
260,201.556824
261,201.985123
262,201.914719
263,201.914719
264,200.884918
265,201.14473
266,201.604721
267,201.814621
268,201.524521
269,201.214722
270,201.364822
271,200.684723
272,200.164825
273,199.475021
274,198.267822
275,195.545715
276,190.647812
277,186.571823
278,190.569321
279,196.223724
280,198.796021
281,199.145813
282,201.254623
283,200.974625
284,201.744629
285,200.460114
286,190.351212
287,110.423019
288,139.838409
289,151.438126
290,161.523819
291,176.31752
292,148.241913
293,106.381119
294,116.62812
295,74.10482
296,59.102219
297,67.591019
298,72.666519
299,88.055222
300,74.449722
301,80.464821
302,52.295315
303,45.500717
304,92.606415
305,92.035217
306,128.347916
307,175.678116
308,193.892319
309,198.99472
310,198.07991
311,198.127518
312,201.924713
313,201.55481
314,201.635315
315,201.955017
316,201.944717
317,201.944916
318,201.934814
319,201.944916
320,201.96492
321,201.974518
322,201.964813
323,201.344711
324,185.819321
325,166.946823
326,83.784416
327,162.234909
328,193.283112
329,201.894516
330,201.944412
331,201.92421
332,201.914307
333,201.924118
334,201.92421
335,201.924011
336,201.933914
337,201.924011
338,201.914124
339,201.904114
340,201.894516
341,201.904114
342,201.924118
343,201.894012
344,201.924011
345,201.944321
346,201.953812
347,201.954208
348,201.961121
349,200.155472
350,198.763687
351,199.677872
352,199.607498
353,199.396637
354,197.925018
355,196.584152
356,184.17981
357,152.779785
358,173.051834
359,187.74675
360,198.28949
361,190.088211
362,179.901703
363,167.660141
364,165.225235
365,176.75769
366,179.843384
367,131.331284
368,87.603027
369,114.60321
370,178.900192
371,111.830009
372,83.441872
373,77.892426
374,123.005096
375,220.987198
376,197.792099
377,149.965729
378,143.297546
379,168.220566
380,169.892212
381,221.807922
382,248.078217
383,204.604462
384,171.88382
385,144.636292
386,166.675171
387,159.641083
388,166.280121
389,174.416534
390,220.721817
391,255.116699
392,241.031067
393,233.96434
394,213.566422
395,197.938187
396,240.525253
397,248.177414
398,209.322495
399,195.728989
400,151.837341
401,153.472015
402,189.883835
403,201.617279
404,279.67572
405,255.576675
406,239.218903
407,210.662445
408,236.726089
409,289.480408
410,326.571686
411,334.677979
412,286.228241
413,336.675537
414,339.065033
415,339.355682
416,339.135254
417,338.030365
418,244.535965
419,243.417404
420,336.086029
421,331.416138
422,327.915375
423,326.233307
424,327.200897
425,307.413666
426,265.733948
427,256.838776
428,231.233368
429,243.266861
430,219.365158
431,169.567627
432,142.161163
433,131.046143
434,123.74427
435,98.509491
436,103.17691
437,103.182907
438,91.270981
439,83.277313
440,77.282875
441,104.726982
442,57.372723
443,38.169102
444,40.024887
445,46.574348
446,47.270016
447,41.10503
448,40.021378
449,58.263889
450,74.088676
451,100.418411
452,66.465958
453,60.178173
454,59.857712
455,50.75415
456,62.81839
457,64.642357
458,54.771717
459,36.280075
460,37.620838
461,55.637459
462,68.366531
463,86.655457
464,102.868317
465,116.414261
466,145.722061
467,208.239166
468,204.943573
469,226.295425
470,255.425797
471,249.211426
472,240.485733
473,284.974396
474,326.736359
475,300.140686
476,315.609314
477,303.407532
478,283.885406
479,307.379028
480,337.749725
481,323.603668
482,327.16275
483,344.828369
484,341.631866
485,349.52298
486,349.827942
487,343.800568
488,342.740234
489,336.114777
490,338.303894
491,331.768341
492,334.397339
493,347.477936
494,349.158386
495,334.978333
496,341.633881
497,354.097412
498,346.862366
499,341.191193
500,316.782776
501,333.620331
502,351.51712
503,356.527161
504,357.27887
505,334.620941
506,307.804535
507,289.663513
508,300.27243
509,322.992859
510,321.173126
511,301.877472
512,220.216827
513,186.090332
514,140.541519
515,88.179031
516,54.891998
517,66.65184
518,66.663658
519,38.646729
520,25.724409
521,32.149818
522,39.173073
523,35.42271
524,28.253613
525,12.139882
526,4.201198
527,8.609493
528,24.250259
529,47.722317
530,57.870018
531,64.682266
532,82.012276
533,92.865845
534,124.318611
535,121.720154
536,128.878479
537,113.156097
538,145.641068
539,171.905289
540,218.421906
541,187.803543
542,159.995407
543,147.021271
544,155.633575
545,156.770004
546,140.428711
547,176.935013
548,140.502731
549,159.538345
550,165.718109
551,136.086823
552,87.106827
553,96.97229
554,113.531067
555,153.134567
556,159.455276
557,173.403229
558,187.804321
559,189.611542
560,169.271378
561,145.566208
562,166.494171
563,175.849915
564,221.849854
565,228.281616
566,234.81189
567,222.823883
568,242.242401
569,257.525513
570,301.473267
571,307.856567
572,304.422821
573,309.478394
574,302.758118
575,302.67218
576,281.288727
577,302.358093
578,280.477386
579,244.955261
580,221.878357
581,228.194519
582,218.357346
583,227.424713
584,215.059021
585,183.458847
586,163.131302
587,137.917511
588,151.157181
589,126.767403
590,85.554993
591,87.557777
592,75.269958
593,92.81144
594,73.946724
595,106.619232
596,113.01841
597,118.23893
598,138.227844
599,149.230392
600,131.527222
601,104.572334
602,104.997414
603,114.759224
604,142.783401
605,162.77356
606,154.054092
607,149.963715
608,183.784256
609,149.240463
610,127.596146
611,127.495461
612,168.10347
613,126.901672
614,156.911728
615,174.457397
616,139.50058
617,108.695946
618,107.582161
619,124.646912
620,155.255615
621,171.283478
622,150.513443
623,149.896011
624,149.379211
625,114.511215
626,133.539993
627,149.113159
628,173.375992
629,213.945068
630,224.00528
631,284.302185
632,299.170074
633,329.916962
634,342.266113
635,332.169922
636,275.572876
637,190.988663
638,215.381714
639,226.305191
640,222.187851
641,267.153809
642,247.264359
643,123.692444
644,145.300247
645,187.104797
646,160.949615
647,121.777382
648,133.132355
649,145.451065
650,168.033066
651,134.206406
652,131.302155
653,194.864761
654,191.501831
655,267.959351
656,311.664703
657,263.980743
658,275.515961
659,263.766693
660,202.371841
661,219.628281
662,173.614914
663,48.322884
664,86.984818
665,191.02449
666,134.82869
667,156.709915
668,217.00972
669,200.946136
670,289.550293
671,316.307983
672,339.357391
673,332.646606
674,336.415741
675,344.996857
676,343.800079
677,336.85379
678,347.388733
679,330.699066
680,334.340302
681,307.636932
682,257.667816
683,310.410645
684,326.239685
685,316.767151
686,320.979126
687,325.577942
688,328.390656
689,329.822144
690,324.242981
691,351.288269
692,359.657593
693,338.08252
694,337.200714
695,354.75061
696,344.104614
697,352.645355
698,360.697693
699,357.20813
700,356.077484
701,360.837982
702,361.117157
703,361.0177
704,356.237335
705,360.507446
706,357.716949
707,356.536987
708,359.217377
709,359.336914
710,322.897491
711,323.070862
712,270.384216
713,251.0569
714,281.917542
715,321.447052
716,357.007202
717,361.31665
718,361.126221
719,361.116364
720,360.796661
721,360.726501
722,358.907898
723,356.706604
724,356.076477
725,360.947113
726,361.056061
727,355.774841
728,355.297882
729,359.697327
730,358.136749
731,337.040222
732,340.566498
733,315.161011
734,259.341949
735,198.291595
736,229.730835
737,320.076111
738,331.685822
739,308.269836
740,275.335876
741,249.076294
742,180.21257
743,254.942108
744,333.269409
745,327.431213
746,334.100983
747,359.797821
748,349.619873
749,359.9151
750,354.695862
751,244.746964
752,316.332184
753,324.299042
754,295.357666
755,214.589996
756,173.475174
757,208.768555
758,293.74234
759,335.688538
760,353.745544
761,356.725525
762,359.085388
763,359.955353
764,360.974945
765,360.955566
766,360.976013
767,360.306
768,205.427078
769,203.846924
770,208.107742
771,358.978485
772,358.905792
773,361.247742
774,356.33075
775,343.259674
776,347.7146
777,350.327911
778,313.520355
779,271.018799
780,243.811523
781,160.926132
782,126.28669
783,98.564667
784,62.225655
785,82.285492
786,94.727844
787,86.937958
788,51.238518
789,35.462666
790,63.389282
791,61.183002
792,50.230103
793,42.129673
794,30.209282
795,28.590731
796,13.639051
797,13.059258
798,41.350777
799,56.901012
800,83.147141
801,186.758133
802,197.495682
803,207.099731
804,235.543961
805,241.528641
806,237.136765
807,257.666534
808,327.388641
809,357.134277
810,346.086761
811,356.416931
812,330.015839
813,290.13031
814,265.075348
815,169.403824
816,174.588898
817,207.645309
818,211.101364
819,216.998199
820,251.992157
821,268.424927
822,292.389771
823,280.56134
824,257.35791
825,198.554092
826,231.139938
827,254.256516
828,289.547943
829,331.762024
830,308.554565
831,339.897522
832,352.618103
833,360.418488
834,361.048767
835,361.180328
836,256.760529
837,259.961121
838,361.039825
839,263.227509
840,262.713623
841,230.460815
842,250.388123
843,200.988022
844,160.177582
845,118.543465
846,50.480042
847,48.664734
848,51.801785
849,40.032944
850,49.20911
851,100.917519
852,206.155685
853,185.365234
854,230.313614
855,256.109497
856,290.51004
857,324.267395
858,339.427521
859,339.517151
860,341.212311
861,346.279541
862,339.154755
863,331.971649
864,281.765839
865,241.609543
866,248.169876
867,252.095551
868,320.173523
869,309.612457
870,253.045868
871,267.618866
872,268.892792
873,271.96814
874,283.468781
875,293.086029
876,297.052094
877,276.538513
878,237.33844
879,272.37088
880,268.791992
881,300.031708
882,274.071136
883,257.348755
884,227.217865
885,190.608109
886,112.234726
887,68.431435
888,53.939472
889,28.478764
890,9.776186
891,0.320502
892,0.020712
893,0.016333
894,0.016134
895,0.016033
896,0.01648
897,2.619926
898,10.329667
899,7.629967
900,9.530899
901,8.069963
902,9.620454
903,31.07021
904,50.242531
905,86.074615
906,132.856384
907,138.897278
908,140.856598
909,177.812622
910,193.783966
911,186.847763
912,189.363892
913,204.834763
914,213.229187
915,142.909607
916,177.173737
917,187.475906
918,224.653976
919,245.955215
920,246.274582
921,209.075012
922,205.774841
923,170.757462
924,133.328201
925,110.779785
926,92.339493
927,148.04361
928,204.302612
929,267.655853
930,319.971619
931,341.135712
932,345.136932
933,328.762817
934,322.323975
935,301.35199
936,297.944153
937,326.277069
938,309.319275
939,308.554565
940,337.53598
941,355.297729
942,360.117981
943,357.03775
944,355.837097
945,358.807007
946,358.917511
947,358.816803
948,358.906494
949,358.906677
950,357.636108
951,356.616577
952,357.446014
953,357.465881
954,357.116058
955,356.726227
956,356.736389
957,316.864441
958,352.086548
959,352.076508
960,352.046387
961,352.046417
962,349.656403
963,347.777313
964,345.697449
965,349.247437
966,252.957794
967,250.367569
968,250.318283
969,349.027496
970,354.007721
971,353.258789
972,347.300568
973,353.719116
974,353.06131
975,327.899872
976,324.054932
977,256.929321
978,312.489716
979,329.719299
980,331.634247
981,327.226807
982,325.491364
983,350.588379
984,353.219269
985,352.818909
986,354.099518
987,348.329468
988,338.771881
989,338.760345
990,350.790863
991,352.179901
992,351.530884
993,351.860382
994,354.209869
995,353.500061
996,354.419312
997,354.300201
998,354.339264
999,249.960159
1000,350.709808
1001,354.471008
1002,315.273254
1003,254.200485
1004,353.080292
1005,354.419556
1006,354.369995
1007,354.340302
1008,354.299896
1009,353.331268
1010,350.872162
1011,337.204437
1012,242.521393
1013,253.200882
1014,254.578598
1015,304.652283
1016,354.34494
1017,354.488129
1018,354.397858
1019,354.407654
1020,347.821686
1021,352.800354
1022,350.29541
1023,353.202301
1024,353.810486
1025,354.409698
1026,354.410065
1027,354.269226
1028,251.130814
1029,252.120865
