"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK2","Generation - Solar  [MW] Intraday / BZN|DK2","Generation - Solar  [MW] Current / BZN|DK2","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK2","Generation - Wind Offshore  [MW] Intraday / BZN|DK2","Generation - Wind Offshore  [MW] Current / BZN|DK2","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK2","Generation - Wind Onshore  [MW] Intraday / BZN|DK2","Generation - Wind Onshore  [MW] Current / BZN|DK2"
"01.01.2019 00:00 - 01.01.2019 01:00","0","n/e","n/e","253","n/e","n/e","551","n/e","n/e"
"01.01.2019 01:00 - 01.01.2019 02:00","0","n/e","n/e","328","n/e","n/e","645","n/e","n/e"
"01.01.2019 02:00 - 01.01.2019 03:00","0","n/e","n/e","257","n/e","n/e","590","n/e","n/e"
"01.01.2019 03:00 - 01.01.2019 04:00","0","n/e","n/e","210","n/e","n/e","566","n/e","n/e"
"01.01.2019 04:00 - 01.01.2019 05:00","0","n/e","n/e","204","n/e","n/e","559","n/e","n/e"
"01.01.2019 05:00 - 01.01.2019 06:00","0","n/e","n/e","204","n/e","n/e","557","n/e","n/e"
"01.01.2019 06:00 - 01.01.2019 07:00","0","n/e","n/e","204","n/e","n/e","583","n/e","n/e"
"01.01.2019 07:00 - 01.01.2019 08:00","0","n/e","n/e","210","n/e","n/e","537","n/e","n/e"
"01.01.2019 08:00 - 01.01.2019 09:00","0","n/e","n/e","356","n/e","n/e","559","n/e","n/e"
"01.01.2019 09:00 - 01.01.2019 10:00","10","n/e","n/e","356","n/e","n/e","553","n/e","n/e"
"01.01.2019 10:00 - 01.01.2019 11:00","28","n/e","n/e","356","n/e","n/e","575","n/e","n/e"
"01.01.2019 11:00 - 01.01.2019 12:00","42","n/e","n/e","356","n/e","n/e","569","n/e","n/e"
"01.01.2019 12:00 - 01.01.2019 13:00","45","n/e","n/e","356","n/e","n/e","572","n/e","n/e"
"01.01.2019 13:00 - 01.01.2019 14:00","36","n/e","n/e","355","n/e","n/e","558","n/e","n/e"
"01.01.2019 14:00 - 01.01.2019 15:00","20","n/e","n/e","355","n/e","n/e","562","n/e","n/e"
"01.01.2019 15:00 - 01.01.2019 16:00","4","n/e","n/e","355","n/e","n/e","578","n/e","n/e"
"01.01.2019 16:00 - 01.01.2019 17:00","0","n/e","n/e","355","n/e","n/e","611","n/e","n/e"
"01.01.2019 17:00 - 01.01.2019 18:00","0","n/e","n/e","355","n/e","n/e","637","n/e","n/e"
"01.01.2019 18:00 - 01.01.2019 19:00","0","n/e","n/e","356","n/e","n/e","662","n/e","n/e"
"01.01.2019 19:00 - 01.01.2019 20:00","0","n/e","n/e","356","n/e","n/e","718","n/e","n/e"
"01.01.2019 20:00 - 01.01.2019 21:00","0","n/e","n/e","357","n/e","n/e","720","n/e","n/e"
"01.01.2019 21:00 - 01.01.2019 22:00","0","n/e","n/e","217","n/e","n/e","697","n/e","n/e"
"01.01.2019 22:00 - 01.01.2019 23:00","0","n/e","n/e","356","n/e","n/e","686","n/e","n/e"
"01.01.2019 23:00 - 02.01.2019 00:00","0","n/e","n/e","217","n/e","n/e","690","n/e","n/e"
"02.01.2019 00:00 - 02.01.2019 01:00","0","n/e","n/e","204","n/e","n/e","558","n/e","n/e"
"02.01.2019 01:00 - 02.01.2019 02:00","0","n/e","n/e","205","n/e","n/e","560","n/e","n/e"
"02.01.2019 02:00 - 02.01.2019 03:00","0","n/e","n/e","205","n/e","n/e","552","n/e","n/e"
"02.01.2019 03:00 - 02.01.2019 04:00","0","n/e","n/e","204","n/e","n/e","505","n/e","n/e"
"02.01.2019 04:00 - 02.01.2019 05:00","0","n/e","n/e","201","n/e","n/e","515","n/e","n/e"
"02.01.2019 05:00 - 02.01.2019 06:00","0","n/e","n/e","197","n/e","n/e","552","n/e","n/e"
"02.01.2019 06:00 - 02.01.2019 07:00","0","n/e","n/e","345","n/e","n/e","570","n/e","n/e"
"02.01.2019 07:00 - 02.01.2019 08:00","0","n/e","n/e","344","n/e","n/e","585","n/e","n/e"
"02.01.2019 08:00 - 02.01.2019 09:00","0","n/e","n/e","336","n/e","n/e","581","n/e","n/e"
"02.01.2019 09:00 - 02.01.2019 10:00","11","n/e","n/e","332","n/e","n/e","553","n/e","n/e"
"02.01.2019 10:00 - 02.01.2019 11:00","32","n/e","n/e","335","n/e","n/e","575","n/e","n/e"
"02.01.2019 11:00 - 02.01.2019 12:00","44","n/e","n/e","345","n/e","n/e","590","n/e","n/e"
"02.01.2019 12:00 - 02.01.2019 13:00","46","n/e","n/e","350","n/e","n/e","607","n/e","n/e"
"02.01.2019 13:00 - 02.01.2019 14:00","40","n/e","n/e","348","n/e","n/e","589","n/e","n/e"
"02.01.2019 14:00 - 02.01.2019 15:00","22","n/e","n/e","339","n/e","n/e","560","n/e","n/e"
"02.01.2019 15:00 - 02.01.2019 16:00","4","n/e","n/e","315","n/e","n/e","530","n/e","n/e"
"02.01.2019 16:00 - 02.01.2019 17:00","0","n/e","n/e","285","n/e","n/e","510","n/e","n/e"
"02.01.2019 17:00 - 02.01.2019 18:00","0","n/e","n/e","266","n/e","n/e","469","n/e","n/e"
"02.01.2019 18:00 - 02.01.2019 19:00","0","n/e","n/e","245","n/e","n/e","405","n/e","n/e"
"02.01.2019 19:00 - 02.01.2019 20:00","0","n/e","n/e","212","n/e","n/e","344","n/e","n/e"
"02.01.2019 20:00 - 02.01.2019 21:00","0","n/e","n/e","179","n/e","n/e","287","n/e","n/e"
"02.01.2019 21:00 - 02.01.2019 22:00","0","n/e","n/e","162","n/e","n/e","255","n/e","n/e"
"02.01.2019 22:00 - 02.01.2019 23:00","0","n/e","n/e","163","n/e","n/e","253","n/e","n/e"
"02.01.2019 23:00 - 03.01.2019 00:00","0","n/e","n/e","176","n/e","n/e","251","n/e","n/e"
"03.01.2019 00:00 - 03.01.2019 01:00","0","n/e","n/e","170","n/e","n/e","256","n/e","n/e"
"03.01.2019 01:00 - 03.01.2019 02:00","0","n/e","n/e","188","n/e","n/e","242","n/e","n/e"
"03.01.2019 02:00 - 03.01.2019 03:00","0","n/e","n/e","194","n/e","n/e","240","n/e","n/e"
"03.01.2019 03:00 - 03.01.2019 04:00","0","n/e","n/e","193","n/e","n/e","254","n/e","n/e"
"03.01.2019 04:00 - 03.01.2019 05:00","0","n/e","n/e","193","n/e","n/e","251","n/e","n/e"
"03.01.2019 05:00 - 03.01.2019 06:00","0","n/e","n/e","182","n/e","n/e","247","n/e","n/e"
"03.01.2019 06:00 - 03.01.2019 07:00","0","n/e","n/e","155","n/e","n/e","233","n/e","n/e"
"03.01.2019 07:00 - 03.01.2019 08:00","0","n/e","n/e","144","n/e","n/e","228","n/e","n/e"
"03.01.2019 08:00 - 03.01.2019 09:00","0","n/e","n/e","143","n/e","n/e","215","n/e","n/e"
"03.01.2019 09:00 - 03.01.2019 10:00","11","n/e","n/e","141","n/e","n/e","203","n/e","n/e"
"03.01.2019 10:00 - 03.01.2019 11:00","32","n/e","n/e","131","n/e","n/e","200","n/e","n/e"
"03.01.2019 11:00 - 03.01.2019 12:00","43","n/e","n/e","111","n/e","n/e","174","n/e","n/e"
"03.01.2019 12:00 - 03.01.2019 13:00","44","n/e","n/e","94","n/e","n/e","146","n/e","n/e"
"03.01.2019 13:00 - 03.01.2019 14:00","38","n/e","n/e","77","n/e","n/e","120","n/e","n/e"
"03.01.2019 14:00 - 03.01.2019 15:00","21","n/e","n/e","60","n/e","n/e","90","n/e","n/e"
"03.01.2019 15:00 - 03.01.2019 16:00","4","n/e","n/e","45","n/e","n/e","63","n/e","n/e"
"03.01.2019 16:00 - 03.01.2019 17:00","0","n/e","n/e","32","n/e","n/e","50","n/e","n/e"
"03.01.2019 17:00 - 03.01.2019 18:00","0","n/e","n/e","21","n/e","n/e","38","n/e","n/e"
"03.01.2019 18:00 - 03.01.2019 19:00","0","n/e","n/e","14","n/e","n/e","29","n/e","n/e"
"03.01.2019 19:00 - 03.01.2019 20:00","0","n/e","n/e","11","n/e","n/e","34","n/e","n/e"
"03.01.2019 20:00 - 03.01.2019 21:00","0","n/e","n/e","13","n/e","n/e","50","n/e","n/e"
"03.01.2019 21:00 - 03.01.2019 22:00","0","n/e","n/e","18","n/e","n/e","63","n/e","n/e"
"03.01.2019 22:00 - 03.01.2019 23:00","0","n/e","n/e","28","n/e","n/e","73","n/e","n/e"
"03.01.2019 23:00 - 04.01.2019 00:00","0","n/e","n/e","46","n/e","n/e","101","n/e","n/e"
"04.01.2019 00:00 - 04.01.2019 01:00","0","n/e","n/e","92","n/e","n/e","188","n/e","n/e"
"04.01.2019 01:00 - 04.01.2019 02:00","0","n/e","n/e","126","n/e","n/e","248","n/e","n/e"
"04.01.2019 02:00 - 04.01.2019 03:00","0","n/e","n/e","178","n/e","n/e","287","n/e","n/e"
