"Imbalance settlement period CET/CEST","Generation / + Imbalance price [EUR/MWh] - MBA|DK2","Generation / - Imbalance price [EUR/MWh] - MBA|DK2","Price for consumption [EUR/MWh] - MBA|DK2","Currency","Status","Total Imbalance [MWh] - MBA|DK2","Difference","Situation","Status"
"01.01.2019 00:00 - 01.01.2019 01:00","28.32","28.32","28.32","EUR","","34","","","Final"
"01.01.2019 01:00 - 01.01.2019 02:00","10.07","10.07","10.07","EUR","","61","","","Final"
"01.01.2019 02:00 - 01.01.2019 03:00","-4.08","-4.08","-4.08","EUR","","22","","","Final"
"01.01.2019 03:00 - 01.01.2019 04:00","-9.91","-9.91","-9.91","EUR","","80","","","Final"
"01.01.2019 04:00 - 01.01.2019 05:00","-7.41","-7.41","-7.41","EUR","","110","","","Final"
"01.01.2019 05:00 - 01.01.2019 06:00","-12.55","-12.55","-12.55","EUR","","15","","","Final"
"01.01.2019 06:00 - 01.01.2019 07:00","-17.25","-17.25","-17.25","EUR","","31","","","Final"
"01.01.2019 07:00 - 01.01.2019 08:00","-15.07","-15.07","-15.07","EUR","","36","","","Final"
"01.01.2019 08:00 - 01.01.2019 09:00","-4.93","-4.93","-4.93","EUR","","140","","","Final"
"01.01.2019 09:00 - 01.01.2019 10:00","-6.33","-6.33","-6.33","EUR","","140","","","Final"
"01.01.2019 10:00 - 01.01.2019 11:00","-4.93","-4.93","-4.93","EUR","","75","","","Final"
"01.01.2019 11:00 - 01.01.2019 12:00","0.45","0.45","0.45","EUR","","67","","","Final"
"01.01.2019 12:00 - 01.01.2019 13:00","0.12","0.12","0.12","EUR","","182","","","Final"
"01.01.2019 13:00 - 01.01.2019 14:00","-0.02","-0.02","-0.02","EUR","","150","","","Final"
"01.01.2019 14:00 - 01.01.2019 15:00","0.00","0.00","0.00","EUR","","115","","","Final"
"01.01.2019 15:00 - 01.01.2019 16:00","-0.03","-0.03","-0.03","EUR","","105","","","Final"
"01.01.2019 16:00 - 01.01.2019 17:00","1.97","1.97","1.97","EUR","","277","","","Final"
"01.01.2019 17:00 - 01.01.2019 18:00","9.06","54.28","54.28","EUR","","359","","","Final"
"01.01.2019 18:00 - 01.01.2019 19:00","0.07","54.28","54.28","EUR","","130","","","Final"
"01.01.2019 19:00 - 01.01.2019 20:00","-4.97","51.00","51.00","EUR","","107","","","Final"
"01.01.2019 20:00 - 01.01.2019 21:00","-6.98","-6.98","-6.98","EUR","","106","","","Final"
"01.01.2019 21:00 - 01.01.2019 22:00","-16.01","-16.01","-16.01","EUR","","32","","","Final"
"01.01.2019 22:00 - 01.01.2019 23:00","-4.87","-4.87","-4.87","EUR","","61","","","Final"
"01.01.2019 23:00 - 02.01.2019 00:00","-28.93","43.00","43.00","EUR","","141","","","Final"
"02.01.2019 00:00 - 02.01.2019 01:00","-33.57","-33.57","-33.57","EUR","","63","","","Final"
"02.01.2019 01:00 - 02.01.2019 02:00","-45.92","-45.92","-45.92","EUR","","223","","","Final"
"02.01.2019 02:00 - 02.01.2019 03:00","-48.29","-48.29","-48.29","EUR","","88","","","Final"
"02.01.2019 03:00 - 02.01.2019 04:00","-33.60","-33.60","-33.60","EUR","","163","","","Final"
"02.01.2019 04:00 - 02.01.2019 05:00","-33.54","-33.54","-33.54","EUR","","14","","","Final"
