,Unnamed: 0,Generation / - Imbalance price [EUR/MWh] - MBA|DK2
0,0,28.32
1,1,10.07
2,2,-4.08
3,3,-9.91
4,4,-7.41
5,5,-12.55
6,6,-17.25
7,7,-15.07
8,8,-4.93
9,9,-6.33
10,10,-4.93
11,11,0.45
12,12,0.12
13,13,-0.02
14,14,0.0
15,15,-0.03
16,16,1.97
17,17,54.28
18,18,54.28
19,19,51.0
20,20,-6.98
21,21,-16.01
22,22,-4.87
23,23,43.0
24,24,-33.57
25,25,-45.92
26,26,-48.29
27,27,-33.6
28,28,-33.54
29,29,-17.79
30,30,-0.01
31,31,37.43
32,32,48.06
33,33,50.74
34,34,48.11
35,35,48.66
36,36,49.94
37,37,47.26
38,38,50.93
39,39,52.38
40,40,56.01
41,41,56.95
42,42,55.39
43,43,54.9
44,44,53.86
45,45,52.71
46,46,52.09
47,47,50.76
48,48,51.98
49,49,51.98
50,50,51.98
51,51,48.4
52,52,48.79
53,53,45.92
54,54,51.07
55,55,53.91
56,56,61.76
57,57,60.03
58,58,58.19
59,59,61.47
60,60,62.0
61,61,63.12
62,62,63.67
63,63,66.13
64,64,68.41
65,65,69.55
66,66,65.67
67,67,61.51
68,68,57.6
69,69,54.44
70,70,52.09
71,71,49.98
72,72,49.87
73,73,47.97
74,74,47.07
75,75,48.29
76,76,48.43
77,77,46.91
78,78,52.5
79,79,53.99
80,80,54.44
81,81,54.18
82,82,53.9
83,83,53.01
84,84,51.74
85,85,51.6
86,86,51.41
87,87,51.69
88,88,52.59
89,89,53.34
90,90,52.81
91,91,51.79
92,92,51.04
93,93,45.43
94,94,43.96
95,95,31.41
96,96,26.9
97,97,25.12
98,98,24.12
99,99,22.04
100,100,18.37
101,101,22.09
102,102,23.35
103,103,48.22
104,104,49.99
105,105,50.73
106,106,50.93
107,107,51.02
108,108,51.36
109,109,51.74
110,110,51.92
111,111,53.22
112,112,55.26
113,113,55.87
114,114,60.16
115,115,58.01
116,116,52.75
117,117,51.9
118,118,51.13
119,119,50.21
120,120,50.29
121,121,49.03
122,122,48.81
123,123,48.66
124,124,47.82
125,125,48.72
126,126,49.38
127,127,49.65
128,128,50.44
129,129,53.4
130,130,52.35
131,131,97.65
132,132,93.74
133,133,73.66
134,134,51.52
135,135,51.57
136,136,53.4
137,137,61.91
138,138,61.36
139,139,93.74
140,140,93.61
141,141,71.29
142,142,50.71
143,143,50.23
144,144,48.62
145,145,47.98
146,146,47.84
147,147,46.96
148,148,48.09
149,149,49.87
150,150,53.51
151,151,66.97
152,152,133.92
153,153,93.74
154,154,93.74
155,155,69.52
156,156,67.13
157,157,65.15
158,158,60.98
159,159,53.25
160,160,53.26
161,161,53.0
162,162,51.32
163,163,50.89
164,164,50.6
165,165,50.03
166,166,21.15
167,167,14.38
168,168,17.94
169,169,20.91
170,170,7.78
171,171,14.33
172,172,18.56
173,173,50.83
174,174,35.81
175,175,43.87
176,176,46.93
177,177,53.57
178,178,53.96
179,179,53.96
180,180,43.94
181,181,43.21
182,182,43.81
183,183,45.6
184,184,35.21
185,185,52.94
186,186,52.94
187,187,37.94
188,188,51.81
189,189,51.8
190,190,51.8
191,191,50.39
192,192,20.04
193,193,7.24
194,194,3.43
195,195,10.04
196,196,14.2
197,197,25.41
198,198,36.98
199,199,43.89
200,200,50.98
201,201,50.3
202,202,50.21
203,203,45.8
204,204,43.64
205,205,43.49
206,206,93.76
207,207,49.95
208,208,53.82
209,209,55.94
210,210,54.19
211,211,54.19
212,212,52.98
213,213,51.68
214,214,54.0
215,215,52.8
216,216,52.5
217,217,53.5
218,218,53.5
219,219,51.48
220,220,51.44
221,221,53.0
222,222,59.0
223,223,90.0
224,224,90.0
225,225,81.79
226,226,81.15
227,227,80.0
228,228,76.39
229,229,75.0
230,230,76.06
231,231,75.4
232,232,76.78
233,233,83.45
234,234,85.15
235,235,78.16
236,236,71.92
237,237,67.43
238,238,60.49
239,239,50.5
240,240,47.84
241,241,46.58
242,242,45.74
243,243,43.81
244,244,46.24
245,245,46.46
246,246,51.29
247,247,60.53
248,248,60.02
249,249,62.92
250,250,61.58
251,251,60.6
252,252,51.89
253,253,50.8
254,254,45.46
255,255,42.2
256,256,45.93
257,257,51.51
258,258,50.44
259,259,49.64
260,260,48.93
261,261,48.34
262,262,47.54
263,263,45.03
264,264,47.24
265,265,51.2
266,266,51.2
267,267,49.22
268,268,42.03
269,269,50.6
270,270,50.6
271,271,50.6
272,272,50.6
273,273,50.6
274,274,53.3
275,275,53.0
276,276,50.32
277,277,49.95
278,278,50.09
279,279,50.82
280,280,51.7
281,281,52.96
282,282,52.33
283,283,51.23
284,284,50.02
285,285,49.23
286,286,48.29
287,287,47.22
288,288,44.01
289,289,44.02
290,290,37.03
291,291,26.54
292,292,23.25
293,293,20.01
294,294,40.06
295,295,45.86
296,296,26.23
297,297,48.78
298,298,49.47
299,299,49.85
300,300,49.87
301,301,49.36
302,302,48.73
303,303,49.21
304,304,50.17
305,305,50.29
306,306,49.57
307,307,48.63
308,308,40.01
309,309,40.22
310,310,3.04
311,311,-7.28
312,312,-3.14
313,313,-9.36
314,314,-15.03
315,315,-11.09
316,316,-4.94
317,317,1.59
318,318,52.03
319,319,55.09
320,320,55.09
321,321,54.26
322,322,54.07
323,323,54.07
324,324,49.89
325,325,49.92
326,326,50.04
327,327,50.18
328,328,50.93
329,329,51.25
330,330,50.93
331,331,50.52
332,332,51.89
333,333,51.0
334,334,49.4
335,335,49.4
336,336,50.53
337,337,50.53
338,338,50.53
339,339,50.0
340,340,49.0
341,341,48.46
342,342,50.91
343,343,53.73
344,344,57.02
345,345,58.38
346,346,56.54
347,347,59.0
348,348,53.92
349,349,53.31
350,350,52.63
351,351,52.63
352,352,53.91
353,353,54.5
354,354,54.27
355,355,53.32
356,356,52.5
357,357,51.65
358,358,50.4
359,359,48.66
360,360,49.48
361,361,49.01
362,362,48.91
363,363,49.06
364,364,49.12
365,365,51.06
366,366,52.82
367,367,62.99
368,368,62.99
369,369,56.37
370,370,55.56
371,371,54.92
372,372,54.15
373,373,53.16
374,374,53.55
375,375,53.72
376,376,54.83
377,377,54.01
378,378,52.67
379,379,52.16
380,380,51.35
381,381,50.09
382,382,46.4
383,383,43.21
384,384,51.0
385,385,51.0
386,386,51.8
387,387,53.41
388,388,53.74
389,389,54.0
390,390,55.46
391,391,60.6
392,392,62.65
393,393,59.0
394,394,61.1
395,395,61.1
396,396,59.0
397,397,54.47
398,398,55.0
399,399,55.9
400,400,65.74
401,401,65.74
402,402,63.17
403,403,59.57
404,404,57.55
405,405,52.75
406,406,51.19
407,407,50.03
408,408,54.3
409,409,53.79
410,410,50.12
411,411,50.15
412,412,50.65
413,413,53.03
414,414,55.94
415,415,71.91
416,416,75.02
417,417,74.07
418,418,70.51
419,419,69.02
420,420,67.29
421,421,63.71
422,422,65.83
423,423,80.38
424,424,80.38
425,425,73.24
426,426,73.7
427,427,60.48
428,428,57.96
429,429,56.33
430,430,55.34
431,431,53.16
432,432,53.76
433,433,53.18
434,434,53.41
435,435,52.46
436,436,52.25
437,437,51.99
438,438,51.72
439,439,52.75
440,440,54.65
441,441,56.62
442,442,60.12
443,443,57.04
444,444,55.26
445,445,54.38
446,446,53.84
447,447,55.41
448,448,61.42
449,449,107.17
450,450,62.72
451,451,57.37
452,452,54.61
453,453,53.6
454,454,52.8
455,455,50.75
456,456,51.0
457,457,49.73
458,458,50.0
459,459,50.11
460,460,50.85
461,461,51.11
462,462,50.99
463,463,51.83
464,464,52.14
465,465,55.68
466,466,56.2
467,467,56.2
468,468,56.2
469,469,56.2
470,470,54.04
471,471,55.39
472,472,58.02
473,473,86.0
474,474,86.0
475,475,71.84
476,476,64.0
477,477,57.37
478,478,57.01
479,479,54.62
480,480,54.94
481,481,53.1
482,482,52.1
483,483,51.83
484,484,52.71
485,485,55.05
486,486,67.5
487,487,92.0
488,488,87.95
489,489,83.95
490,490,260.0
491,491,260.0
492,492,260.0
493,493,90.0
494,494,70.31
495,495,74.65
496,496,81.08
497,497,88.35
498,498,88.37
499,499,78.01
500,500,68.8
501,501,61.6
502,502,57.94
503,503,54.93
504,504,54.64
505,505,54.05
506,506,53.52
507,507,52.48
508,508,53.44
509,509,55.17
510,510,62.33
511,511,73.91
512,512,80.23
513,513,76.6
514,514,74.19
515,515,70.06
516,516,62.07
517,517,58.85
518,518,105.0
519,519,105.0
520,520,99.0
521,521,81.0
522,522,74.13
523,523,60.1
524,524,56.94
525,525,55.38
526,526,55.23
527,527,53.3
528,528,53.2
529,529,52.62
530,530,52.14
531,531,51.19
532,532,52.07
533,533,55.68
534,534,62.43
535,535,79.48
536,536,88.38
537,537,84.1
538,538,85.35
539,539,85.96
540,540,77.65
541,541,76.4
542,542,83.53
543,543,82.83
544,544,292.69
545,545,300.0
546,546,300.0
547,547,292.69
548,548,58.06
549,549,57.55
550,550,56.83
551,551,54.96
552,552,55.98
553,553,55.8
554,554,55.57
555,555,55.33
556,556,55.8
557,557,60.05
558,558,75.98
559,559,155.0
560,560,155.0
561,561,200.0
562,562,135.0
563,563,135.0
564,564,95.97
565,565,90.41
566,566,87.7
567,567,88.28
568,568,95.01
569,569,106.82
570,570,100.29
571,571,73.38
572,572,60.35
573,573,59.75
574,574,58.45
575,575,57.19
576,576,58.0
577,577,58.0
578,578,56.7
579,579,55.52
580,580,55.28
581,581,58.98
582,582,69.39
583,583,84.48
584,584,94.67
585,585,91.4
586,586,107.15
587,587,107.15
588,588,93.76
589,589,93.76
590,590,93.76
591,591,65.85
592,592,65.08
593,593,70.87
594,594,71.74
595,595,57.28
596,596,55.43
597,597,58.7
598,598,58.7
599,599,56.5
600,600,56.5
601,601,56.4
602,602,56.0
603,603,50.85
604,604,51.52
605,605,52.01
606,606,52.44
607,607,53.35
608,608,53.99
609,609,56.28
610,610,58.62
611,611,59.18
612,612,59.22
613,613,59.22
614,614,56.5
615,615,54.1
616,616,58.0
617,617,58.0
618,618,57.92
619,619,55.11
620,620,53.06
621,621,52.42
622,622,51.92
623,623,51.14
624,624,51.48
625,625,40.46
626,626,20.83
627,627,20.06
628,628,16.78
629,629,26.58
630,630,38.61
631,631,51.46
632,632,51.45
633,633,55.55
634,634,57.05
635,635,57.05
636,636,55.58
637,637,55.3
638,638,55.3
639,639,55.3
640,640,53.49
641,641,54.31
642,642,54.38
643,643,54.26
644,644,53.61
645,645,52.8
646,646,52.5
647,647,51.53
648,648,51.02
649,649,50.51
650,650,50.32
651,651,50.39
652,652,50.97
653,653,53.57
654,654,55.14
655,655,64.04
656,656,64.88
657,657,62.2
658,658,58.38
659,659,57.3
660,660,56.93
661,661,56.9
662,662,57.37
663,663,58.0
664,664,59.67
665,665,61.38
666,666,59.64
667,667,56.44
668,668,55.17
669,669,56.29
670,670,56.09
671,671,55.55
672,672,51.31
673,673,50.69
674,674,50.59
675,675,52.8
676,676,51.56
677,677,54.18
678,678,56.58
679,679,67.67
680,680,72.8
681,681,70.63
682,682,70.38
683,683,67.51
684,684,64.03
685,685,63.84
686,686,66.56
687,687,66.0
688,688,70.5
689,689,71.96
690,690,72.82
691,691,68.14
692,692,58.08
693,693,57.57
694,694,56.0
695,695,54.5
696,696,51.46
697,697,54.07
698,698,54.58
699,699,54.58
700,700,54.7
701,701,56.64
702,702,63.85
703,703,94.0
704,704,94.0
705,705,67.49
706,706,66.09
707,707,63.73
708,708,60.21
709,709,57.84
710,710,56.97
711,711,57.68
712,712,61.57
713,713,68.2
714,714,62.53
715,715,59.73
716,716,56.64
717,717,56.1
718,718,55.1
719,719,53.0
720,720,47.17
721,721,45.47
722,722,45.43
723,723,46.82
724,724,45.08
725,725,53.75
726,726,57.36
727,727,69.07
728,728,70.06
729,729,67.42
730,730,68.9
731,731,68.8
732,732,267.8
733,733,267.8
734,734,267.8
735,735,267.8
736,736,93.78
737,737,66.68
738,738,65.37
739,739,56.57
