,Unnamed: 0,Generation / + Imbalance price [EUR/MWh] - MBA|DK2
0,0,28.32
1,1,10.07
2,2,-4.08
3,3,-9.91
4,4,-7.41
5,5,-12.55
6,6,-17.25
7,7,-15.07
8,8,-4.93
9,9,-6.33
10,10,-4.93
11,11,0.45
12,12,0.12
13,13,-0.02
14,14,0.0
15,15,-0.03
16,16,1.97
17,17,9.06
18,18,0.07
19,19,-4.97
20,20,-6.98
21,21,-16.01
22,22,-4.87
23,23,-28.93
24,24,-33.57
25,25,-45.92
26,26,-48.29
27,27,-33.6
28,28,-33.54
29,29,-17.79
30,30,-0.01
31,31,37.43
32,32,45.44
33,33,44.94
34,34,44.99
35,35,45.44
36,36,44.44
37,37,44.44
38,38,45.0
39,39,48.2
40,40,47.82
41,41,48.43
42,42,49.0
43,43,49.0
44,44,48.93
45,45,48.93
46,46,48.43
47,47,46.1
48,48,42.91
49,49,45.22
50,50,48.31
51,51,48.4
52,52,48.79
53,53,45.92
54,54,51.07
55,55,51.0
56,56,51.0
57,57,50.47
58,58,49.5
59,59,51.0
60,60,62.0
61,61,52.99
62,62,50.97
63,63,50.47
64,64,50.6
65,65,51.48
66,66,65.67
67,67,61.51
68,68,57.6
69,69,54.44
70,70,48.0
71,71,45.42
72,72,46.78
73,73,47.97
74,74,47.07
75,75,46.94
76,76,47.0
77,77,46.91
78,78,50.87
79,79,53.99
80,80,54.44
81,81,48.79
82,82,48.79
83,83,48.29
84,84,46.78
85,85,45.78
86,86,45.0
87,87,45.0
88,88,46.78
89,89,46.78
90,90,46.28
91,91,46.28
92,92,44.5
93,93,44.27
94,94,43.96
95,95,31.41
96,96,26.9
97,97,25.12
98,98,24.12
99,99,22.04
100,100,18.37
101,101,22.09
102,102,23.35
103,103,45.6
104,104,45.6
105,105,46.11
106,106,46.11
107,107,46.11
108,108,51.36
109,109,47.12
110,110,47.12
111,111,47.12
112,112,48.0
113,113,50.0
114,114,60.16
115,115,58.01
116,116,47.63
117,117,46.62
118,118,45.1
119,119,44.59
120,120,43.76
121,121,43.25
122,122,42.4
123,123,41.0
124,124,41.0
125,125,41.0
126,126,41.0
127,127,43.25
128,128,43.76
129,129,44.9
130,130,48.0
131,131,52.77
132,132,52.86
133,133,52.44
134,134,46.38
135,135,47.0
136,136,48.85
137,137,61.91
138,138,61.36
139,139,58.57
140,140,51.95
141,141,51.57
142,142,47.32
143,143,47.32
144,144,48.62
145,145,47.98
146,146,44.0
147,147,44.0
148,148,44.0
149,149,45.5
150,150,53.51
151,151,49.86
152,152,72.85
153,153,73.13
154,154,72.32
155,155,69.52
156,156,67.13
157,157,65.15
158,158,49.4
159,159,49.86
160,160,53.26
161,161,53.0
162,162,51.32
163,163,50.89
164,164,50.6
165,165,50.03
166,166,21.15
167,167,14.38
168,168,17.94
169,169,-13.12
170,170,7.78
171,171,14.33
172,172,18.56
173,173,18.57
174,174,35.81
175,175,43.87
176,176,46.93
177,177,43.88
178,178,43.85
179,179,46.74
180,180,43.94
181,181,43.21
182,182,43.81
183,183,3.35
184,184,6.7
185,185,45.64
186,186,45.63
187,187,37.94
188,188,39.53
189,189,35.97
190,190,29.72
191,191,22.55
192,192,20.04
193,193,7.24
194,194,3.43
195,195,10.04
196,196,14.2
197,197,25.41
198,198,36.98
199,199,43.89
200,200,50.98
201,201,47.07
202,202,47.07
203,203,45.8
204,204,43.64
205,205,43.49
206,206,45.05
207,207,47.58
208,208,53.82
209,209,55.94
210,210,54.19
211,211,49.63
212,212,48.09
213,213,48.09
214,214,50.96
215,215,49.96
216,216,50.51
217,217,49.98
218,218,49.55
219,219,49.98
220,220,49.94
221,221,49.8
222,222,56.97
223,223,72.6
224,224,81.17
225,225,81.79
226,226,71.45
227,227,71.56
228,228,76.39
229,229,75.0
230,230,76.06
231,231,75.4
232,232,76.78
233,233,83.45
234,234,85.15
235,235,78.16
236,236,49.11
237,237,48.64
238,238,44.5
239,239,42.97
240,240,42.0
241,241,46.58
242,242,42.52
243,243,42.52
244,244,44.05
245,245,44.05
246,246,46.61
247,247,60.53
248,248,60.02
249,249,51.22
250,250,51.22
251,251,49.69
252,252,50.2
253,253,46.3
254,254,45.46
255,255,42.2
256,256,45.93
257,257,51.51
258,258,50.44
259,259,49.64
260,260,48.93
261,261,48.34
262,262,47.54
263,263,45.03
264,264,47.24
265,265,45.88
266,266,44.61
267,267,42.9
268,268,42.03
269,269,42.0
270,270,44.06
271,271,46.39
272,272,48.02
273,273,49.91
274,274,50.3
275,275,50.32
276,276,50.32
277,277,46.66
278,278,46.66
279,279,46.66
280,280,46.66
281,281,50.76
282,282,48.0
283,283,46.5
284,284,46.5
285,285,46.5
286,286,45.12
287,287,44.4
288,288,44.01
289,289,44.02
290,290,37.03
291,291,26.54
292,292,23.25
293,293,0.0
294,294,40.06
295,295,43.36
296,296,26.23
297,297,43.36
298,298,43.36
299,299,43.7
300,300,44.89
301,301,43.36
302,302,43.36
303,303,43.36
304,304,45.0
305,305,46.93
306,306,46.93
307,307,46.93
308,308,40.01
309,309,40.22
310,310,3.04
311,311,-7.28
312,312,-3.14
313,313,-12.27
314,314,-15.03
315,315,-11.09
316,316,-4.94
317,317,1.59
318,318,48.07
319,319,51.22
320,320,51.66
321,321,50.68
322,322,50.6
323,323,50.27
324,324,46.42
325,325,43.87
326,326,43.36
327,327,43.87
328,328,46.93
329,329,48.0
330,330,50.93
331,331,50.52
332,332,49.61
333,333,44.3
334,334,41.29
335,335,37.26
336,336,37.67
337,337,36.7
338,338,37.06
339,339,40.64
340,340,44.31
341,341,48.46
342,342,50.91
343,343,53.73
344,344,57.02
345,345,52.06
346,346,52.06
347,347,55.0
348,348,49.51
349,349,49.51
350,350,50.53
351,351,50.53
352,352,50.53
353,353,50.53
354,354,50.02
355,355,50.02
356,356,49.51
357,357,48.48
358,358,48.48
359,359,44.5
360,360,44.5
361,361,46.09
362,362,46.09
363,363,46.09
364,364,46.09
365,365,46.09
366,366,48.4
367,367,56.67
368,368,59.41
369,369,49.68
370,370,49.5
371,371,49.0
372,372,49.0
373,373,48.14
374,374,7.47
375,375,0.0
376,376,54.83
377,377,49.17
378,378,49.17
379,379,49.17
380,380,51.35
381,381,50.09
382,382,46.4
383,383,43.21
384,384,31.44
385,385,30.59
386,386,36.54
387,387,38.83
388,388,46.99
389,389,50.3
390,390,52.74
391,391,53.94
392,392,54.42
393,393,54.74
394,394,54.8
395,395,54.62
396,396,54.43
397,397,49.82
398,398,49.82
399,399,49.82
400,400,57.43
401,401,58.72
402,402,55.06
403,403,53.85
404,404,53.05
405,405,49.3
406,406,49.3
407,407,49.3
408,408,51.16
409,409,50.47
410,410,50.12
411,411,50.15
412,412,50.65
413,413,53.03
414,414,55.94
415,415,71.91
416,416,75.02
417,417,55.33
418,418,54.5
419,419,54.5
420,420,53.28
421,421,53.28
422,422,65.83
423,423,66.5
424,424,67.34
425,425,73.24
426,426,73.7
427,427,57.89
428,428,52.5
429,429,51.74
430,430,51.74
431,431,51.9
432,432,53.76
433,433,53.18
434,434,53.41
435,435,48.81
436,436,48.29
437,437,48.2
438,438,46.0
439,439,48.4
440,440,51.38
441,441,52.0
442,442,53.95
443,443,48.5
444,444,48.2
445,445,47.27
446,446,45.5
447,447,46.75
448,448,49.32
449,449,64.74
450,450,52.4
451,451,49.84
452,452,47.78
453,453,46.3
454,454,45.0
455,455,45.0
456,456,46.5
457,457,46.5
458,458,46.5
459,459,45.67
460,460,45.67
461,461,46.18
462,462,45.16
463,463,47.21
464,464,48.9
465,465,53.68
466,466,54.48
467,467,54.7
468,468,54.17
469,469,53.71
470,470,49.5
471,471,49.5
472,472,50.29
473,473,65.93
474,474,67.77
475,475,63.62
476,476,59.82
477,477,57.37
478,478,57.01
479,479,49.26
480,480,49.26
481,481,47.21
482,482,47.21
483,483,47.21
484,484,52.71
485,485,55.05
486,486,65.33
487,487,77.71
488,488,85.95
489,489,55.93
490,490,78.25
491,491,75.0
492,492,70.65
493,493,71.56
494,494,53.37
495,495,52.34
496,496,52.34
497,497,53.88
498,498,56.0
499,499,56.96
500,500,68.8
501,501,61.6
502,502,57.94
503,503,51.5
504,504,50.32
505,505,50.32
506,506,50.32
507,507,52.48
508,508,53.44
509,509,55.17
510,510,62.33
511,511,73.91
512,512,54.43
513,513,53.92
514,514,53.92
515,515,53.92
516,516,53.92
517,517,54.43
518,518,59.69
519,519,65.09
520,520,70.21
521,521,78.8
522,522,74.13
523,523,53.92
524,524,53.92
525,525,53.92
526,526,55.23
527,527,53.3
528,528,53.2
529,529,52.62
530,530,52.14
531,531,51.19
532,532,52.07
533,533,55.68
534,534,62.43
535,535,79.48
536,536,87.38
537,537,83.1
538,538,85.35
539,539,85.96
540,540,77.65
541,541,76.4
542,542,83.53
543,543,82.83
544,544,82.92
545,545,87.85
546,546,85.03
547,547,62.25
548,548,55.0
549,549,55.0
550,550,56.83
551,551,54.96
552,552,55.98
553,553,55.8
554,554,55.57
555,555,55.33
556,556,55.8
557,557,60.05
558,558,75.98
559,559,96.7
560,560,109.45
561,561,108.56
562,562,102.76
563,563,101.2
564,564,61.0
565,565,57.84
566,566,57.84
567,567,57.33
568,568,59.0
569,569,106.82
570,570,100.29
571,571,73.38
572,572,60.35
573,573,59.75
574,574,58.45
575,575,57.19
576,576,57.32
577,577,56.47
578,578,55.95
579,579,55.44
580,580,55.28
581,581,58.98
582,582,69.39
583,583,56.35
584,584,56.3
585,585,56.04
586,586,82.96
587,587,78.0
588,588,71.81
589,589,69.87
590,590,68.64
591,591,65.58
592,592,65.08
593,593,70.87
594,594,71.74
595,595,57.28
596,596,55.43
597,597,54.36
598,598,53.59
599,599,52.35
600,600,51.91
601,601,51.52
602,602,50.98
603,603,50.85
604,604,51.52
605,605,52.01
606,606,48.5
607,607,48.5
608,608,49.0
609,609,49.95
610,610,52.0
611,611,59.18
612,612,56.72
613,613,56.16
614,614,54.61
615,615,54.1
616,616,55.17
617,617,56.73
618,618,56.2
619,619,52.01
620,620,51.7
621,621,49.0
622,622,49.0
623,623,50.14
624,624,51.48
625,625,40.46
626,626,20.83
627,627,20.06
628,628,16.78
629,629,26.58
630,630,38.61
631,631,51.46
632,632,51.45
633,633,51.66
634,634,52.61
635,635,52.64
636,636,52.25
637,637,52.04
638,638,52.05
639,639,52.17
640,640,53.49
641,641,54.31
642,642,51.95
643,643,50.4
644,644,50.4
645,645,48.5
646,646,48.5
647,647,48.5
648,648,51.02
649,649,50.51
650,650,50.32
651,651,50.39
652,652,50.97
653,653,53.57
654,654,55.14
655,655,64.04
656,656,52.46
657,657,51.43
658,658,51.43
659,659,50.5
660,660,50.9
661,661,50.9
662,662,52.0
663,663,58.0
664,664,59.67
665,665,61.38
666,666,59.64
667,667,56.44
668,668,55.17
669,669,54.79
670,670,53.68
671,671,52.36
672,672,51.31
673,673,50.69
674,674,50.59
675,675,51.0
676,676,51.56
677,677,54.18
678,678,56.58
679,679,67.67
680,680,51.5
681,681,51.5
682,682,52.43
683,683,52.43
684,684,55.1
685,685,54.48
686,686,53.0
687,687,53.0
688,688,69.33
689,689,71.45
690,690,72.82
691,691,68.14
692,692,58.08
693,693,55.74
694,694,53.83
695,695,52.64
696,696,51.46
697,697,51.12
698,698,50.69
699,699,50.82
700,700,51.47
701,701,53.97
702,702,56.09
703,703,66.59
704,704,68.22
705,705,53.8
706,706,66.09
707,707,63.73
708,708,60.21
709,709,57.84
710,710,56.97
711,711,57.68
712,712,61.57
713,713,68.2
714,714,62.53
715,715,57.86
716,716,54.41
717,717,53.83
718,718,51.99
719,719,46.86
720,720,47.17
721,721,45.47
722,722,45.43
723,723,46.82
724,724,45.08
725,725,48.43
726,726,57.36
727,727,69.07
728,728,53.5
729,729,53.5
730,730,65.73
731,731,66.31
732,732,65.21
733,733,64.63
734,734,64.57
735,735,64.57
736,736,63.78
737,737,66.68
738,738,65.37
739,739,52.55
