,Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK2
0,253.0
1,328.0
2,257.0
3,210.0
4,204.0
5,204.0
6,204.0
7,210.0
8,356.0
9,356.0
10,356.0
11,356.0
12,356.0
13,355.0
14,355.0
15,355.0
16,355.0
17,355.0
18,356.0
19,356.0
20,357.0
21,217.0
22,356.0
23,217.0
24,204.0
25,205.0
26,205.0
27,204.0
28,201.0
29,197.0
30,345.0
31,344.0
32,336.0
33,332.0
34,335.0
35,345.0
36,350.0
37,348.0
38,339.0
39,315.0
40,285.0
41,266.0
42,245.0
43,212.0
44,179.0
45,162.0
46,163.0
47,176.0
48,170.0
49,188.0
50,194.0
51,193.0
52,193.0
53,182.0
54,155.0
55,144.0
56,143.0
57,141.0
58,131.0
59,111.0
60,94.0
61,77.0
62,60.0
63,45.0
64,32.0
65,21.0
66,14.0
67,11.0
68,13.0
69,18.0
70,28.0
71,46.0
72,92.0
73,126.0
74,178.0
75,259.0
76,312.0
77,324.0
78,329.0
79,332.0
80,322.0
81,317.0
82,307.0
83,285.0
84,262.0
85,247.0
86,228.0
87,231.0
88,252.0
89,275.0
90,293.0
91,295.0
92,291.0
93,291.0
94,286.0
95,273.0
96,283.0
97,277.0
98,270.0
99,259.0
100,240.0
101,227.0
102,206.0
103,192.0
104,161.0
105,127.0
106,124.0
107,111.0
108,90.0
109,73.0
110,57.0
111,46.0
112,39.0
113,33.0
114,28.0
115,24.0
116,22.0
117,20.0
118,17.0
119,12.0
120,3.0
121,1.0
122,0.0
123,1.0
124,0.0
125,1.0
126,0.0
127,1.0
128,1.0
129,4.0
130,8.0
131,11.0
132,13.0
133,15.0
134,16.0
135,17.0
136,17.0
137,17.0
138,18.0
139,21.0
140,27.0
141,42.0
142,57.0
143,66.0
144,44.0
145,54.0
146,46.0
147,38.0
148,49.0
149,64.0
150,78.0
151,87.0
152,86.0
153,89.0
154,106.0
155,127.0
156,134.0
157,121.0
158,112.0
159,133.0
160,199.0
161,289.0
162,337.0
163,345.0
164,349.0
165,350.0
166,351.0
167,349.0
168,352.0
169,354.0
170,351.0
171,353.0
172,358.0
173,350.0
174,356.0
175,357.0
176,356.0
177,356.0
178,355.0
179,355.0
180,354.0
181,353.0
182,353.0
183,354.0
184,355.0
185,356.0
186,356.0
187,356.0
188,356.0
189,357.0
190,356.0
191,355.0
192,341.0
193,340.0
194,339.0
195,344.0
196,346.0
197,335.0
198,336.0
199,337.0
200,337.0
201,337.0
202,336.0
203,335.0
204,332.0
205,328.0
206,321.0
207,314.0
208,304.0
209,290.0
210,275.0
211,254.0
212,224.0
213,192.0
214,174.0
215,165.0
216,110.0
217,69.0
218,60.0
219,53.0
220,35.0
221,25.0
222,21.0
223,16.0
224,11.0
225,8.0
226,5.0
227,5.0
228,3.0
229,3.0
230,5.0
231,11.0
232,18.0
233,27.0
234,36.0
235,47.0
236,64.0
237,89.0
238,124.0
239,169.0
240,237.0
241,261.0
242,267.0
243,245.0
244,234.0
245,235.0
246,261.0
247,284.0
248,300.0
249,315.0
250,323.0
251,326.0
252,326.0
253,327.0
254,328.0
255,324.0
256,318.0
257,308.0
258,291.0
259,264.0
260,231.0
261,197.0
262,169.0
263,153.0
264,133.0
265,162.0
266,201.0
267,218.0
268,226.0
269,242.0
270,197.0
271,223.0
272,237.0
273,260.0
274,274.0
275,278.0
276,291.0
277,303.0
278,311.0
279,316.0
280,320.0
281,321.0
282,321.0
283,321.0
284,320.0
285,316.0
286,314.0
287,314.0
288,344.0
289,339.0
290,337.0
291,330.0
292,324.0
293,292.0
294,315.0
295,330.0
296,350.0
297,356.0
298,362.0
299,365.0
300,367.0
301,367.0
302,369.0
303,369.0
304,369.0
305,369.0
306,369.0
307,369.0
308,369.0
309,369.0
310,368.0
311,369.0
312,357.0
313,210.0
314,205.0
315,212.0
316,357.0
317,354.0
318,359.0
319,358.0
320,355.0
321,354.0
322,355.0
323,355.0
324,355.0
325,354.0
326,355.0
327,355.0
328,354.0
329,354.0
330,353.0
331,353.0
332,353.0
333,352.0
334,351.0
335,351.0
336,335.0
337,343.0
338,332.0
339,307.0
340,333.0
341,342.0
342,351.0
343,346.0
344,335.0
345,315.0
346,305.0
347,326.0
348,350.0
349,355.0
350,356.0
351,356.0
352,356.0
353,356.0
354,354.0
355,351.0
356,343.0
357,326.0
358,301.0
359,298.0
360,319.0
361,331.0
362,344.0
363,354.0
364,354.0
365,353.0
366,348.0
367,341.0
368,331.0
369,323.0
370,322.0
371,323.0
372,321.0
373,321.0
374,329.0
375,337.0
376,342.0
377,347.0
378,349.0
379,351.0
380,351.0
381,352.0
382,353.0
383,353.0
384,354.0
385,350.0
386,342.0
387,315.0
388,308.0
389,323.0
390,323.0
391,344.0
392,350.0
393,353.0
394,352.0
395,352.0
396,352.0
397,349.0
398,342.0
399,321.0
400,282.0
401,244.0
402,226.0
403,222.0
404,217.0
405,238.0
406,272.0
407,279.0
408,286.0
409,274.0
410,222.0
411,152.0
412,91.0
413,69.0
414,75.0
415,76.0
416,94.0
417,134.0
418,172.0
419,198.0
420,204.0
421,190.0
422,166.0
423,141.0
424,120.0
425,103.0
426,94.0
427,96.0
428,106.0
429,118.0
430,126.0
431,123.0
432,115.0
433,95.0
434,72.0
435,68.0
436,57.0
437,38.0
438,28.0
439,28.0
440,28.0
441,35.0
442,35.0
443,34.0
444,34.0
445,29.0
446,21.0
447,15.0
448,13.0
449,13.0
450,14.0
451,17.0
452,19.0
453,19.0
454,21.0
455,22.0
456,17.0
457,12.0
458,9.0
459,6.0
460,4.0
461,2.0
462,2.0
463,2.0
464,3.0
465,4.0
466,5.0
467,7.0
468,9.0
469,12.0
470,14.0
471,17.0
472,21.0
473,25.0
474,29.0
475,34.0
476,37.0
477,40.0
478,42.0
479,43.0
480,55.0
481,64.0
482,63.0
483,87.0
484,102.0
485,121.0
486,166.0
487,183.0
488,230.0
489,257.0
490,281.0
491,295.0
492,299.0
493,290.0
494,280.0
495,273.0
496,264.0
497,258.0
498,248.0
499,227.0
500,203.0
501,178.0
502,155.0
503,137.0
504,95.0
505,85.0
506,70.0
507,62.0
508,55.0
509,50.0
510,55.0
511,65.0
512,78.0
513,70.0
514,73.0
515,84.0
516,102.0
517,127.0
518,156.0
519,185.0
520,216.0
521,249.0
522,273.0
523,284.0
524,283.0
525,277.0
526,268.0
527,255.0
528,249.0
529,234.0
530,217.0
531,200.0
532,176.0
533,166.0
534,157.0
535,157.0
536,153.0
537,135.0
538,116.0
539,100.0
540,92.0
541,86.0
542,85.0
543,91.0
544,99.0
545,113.0
546,132.0
547,141.0
548,136.0
549,125.0
550,112.0
551,101.0
552,65.0
553,53.0
554,50.0
555,44.0
556,36.0
557,33.0
558,37.0
559,41.0
560,45.0
561,48.0
562,46.0
563,39.0
564,30.0
565,23.0
566,19.0
567,19.0
568,19.0
569,19.0
570,20.0
571,21.0
572,19.0
573,17.0
574,13.0
575,8.0
576,0.0
577,1.0
578,1.0
579,6.0
580,3.0
581,1.0
582,0.0
583,0.0
584,1.0
585,5.0
586,13.0
587,21.0
588,23.0
589,20.0
590,23.0
591,28.0
592,37.0
593,54.0
594,73.0
595,96.0
596,126.0
597,158.0
598,183.0
599,193.0
600,149.0
601,115.0
602,82.0
603,51.0
604,34.0
605,22.0
606,19.0
607,23.0
608,21.0
609,23.0
610,24.0
611,32.0
612,50.0
613,62.0
614,58.0
615,48.0
616,43.0
617,48.0
618,58.0
619,73.0
620,104.0
621,137.0
622,154.0
623,165.0
624,162.0
625,190.0
626,193.0
627,220.0
628,246.0
629,236.0
630,234.0
631,236.0
632,244.0
633,254.0
634,250.0
635,240.0
636,227.0
637,215.0
638,205.0
639,199.0
640,198.0
641,193.0
642,190.0
643,190.0
644,177.0
645,164.0
646,155.0
647,145.0
648,108.0
649,105.0
650,100.0
651,107.0
652,101.0
653,94.0
654,106.0
655,93.0
656,69.0
657,66.0
658,64.0
659,59.0
660,46.0
661,31.0
662,20.0
663,15.0
664,14.0
665,16.0
666,19.0
667,29.0
668,56.0
669,96.0
670,132.0
671,154.0
672,175.0
673,167.0
674,166.0
675,170.0
676,169.0
677,140.0
678,103.0
679,78.0
680,94.0
681,96.0
682,98.0
683,108.0
684,117.0
685,120.0
686,122.0
687,121.0
688,116.0
689,116.0
690,127.0
691,139.0
692,150.0
693,151.0
694,133.0
695,108.0
696,98.0
697,71.0
698,51.0
699,53.0
700,61.0
701,81.0
702,107.0
703,129.0
704,150.0
705,163.0
706,166.0
707,178.0
708,195.0
709,216.0
710,249.0
711,283.0
712,309.0
713,327.0
714,336.0
715,341.0
716,342.0
717,338.0
718,337.0
719,335.0
720,337.0
721,328.0
722,321.0
723,316.0
724,289.0
725,258.0
726,243.0
727,224.0
728,197.0
729,158.0
730,122.0
731,101.0
732,83.0
733,66.0
734,53.0
735,42.0
736,35.0
737,34.0
738,41.0
739,51.0
740,59.0
741,70.0
742,78.0
743,87.0
744,61.0
745,66.0
746,59.0
747,83.0
748,103.0
749,138.0
750,157.0
751,163.0
752,181.0
753,212.0
754,234.0
755,237.0
756,224.0
757,206.0
758,196.0
759,189.0
760,175.0
761,161.0
762,143.0
763,123.0
764,106.0
765,95.0
766,92.0
767,97.0
768,33.0
769,28.0
770,29.0
771,34.0
772,40.0
773,57.0
774,80.0
775,73.0
776,57.0
777,65.0
778,75.0
779,77.0
780,74.0
781,75.0
782,81.0
783,84.0
784,87.0
785,87.0
786,83.0
787,78.0
788,69.0
789,62.0
790,61.0
791,64.0
792,50.0
793,55.0
794,59.0
795,80.0
796,112.0
797,119.0
798,128.0
799,120.0
800,119.0
801,114.0
802,109.0
803,115.0
804,120.0
805,127.0
806,135.0
807,135.0
808,124.0
809,104.0
810,84.0
811,68.0
812,57.0
813,52.0
814,47.0
815,47.0
816,36.0
817,41.0
818,48.0
819,57.0
820,65.0
821,84.0
822,108.0
823,159.0
824,208.0
825,256.0
826,298.0
827,319.0
828,330.0
829,335.0
830,341.0
831,346.0
832,350.0
833,353.0
834,355.0
835,357.0
836,358.0
837,359.0
838,359.0
839,359.0
840,354.0
841,352.0
842,350.0
843,347.0
844,344.0
845,344.0
846,343.0
847,347.0
848,348.0
849,348.0
850,349.0
851,348.0
852,347.0
853,345.0
854,342.0
855,338.0
856,336.0
857,333.0
858,327.0
859,315.0
860,291.0
861,265.0
862,242.0
863,214.0
864,185.0
865,153.0
866,114.0
867,82.0
868,81.0
869,90.0
870,117.0
871,185.0
872,219.0
873,246.0
874,263.0
875,278.0
876,289.0
877,289.0
878,283.0
879,271.0
880,255.0
881,244.0
882,234.0
883,216.0
884,192.0
885,167.0
886,146.0
887,130.0
888,109.0
889,93.0
890,100.0
891,111.0
892,140.0
893,177.0
894,184.0
895,188.0
896,235.0
897,283.0
898,331.0
899,345.0
900,350.0
901,350.0
902,347.0
903,344.0
904,346.0
905,348.0
906,351.0
907,356.0
908,357.0
909,357.0
910,357.0
911,356.0
912,353.0
913,350.0
914,343.0
915,345.0
916,349.0
917,349.0
918,343.0
919,341.0
920,337.0
921,335.0
922,338.0
923,338.0
924,338.0
925,342.0
926,346.0
927,348.0
928,350.0
929,353.0
930,354.0
931,355.0
932,357.0
933,357.0
934,358.0
935,358.0
936,358.0
937,358.0
938,210.0
939,210.0
940,356.0
941,357.0
942,356.0
943,352.0
944,351.0
945,353.0
946,353.0
947,352.0
948,352.0
949,354.0
950,356.0
951,357.0
952,357.0
953,358.0
954,358.0
955,358.0
956,358.0
957,357.0
958,357.0
959,356.0
960,355.0
961,352.0
962,346.0
963,336.0
964,226.0
965,212.0
966,227.0
967,308.0
968,308.0
969,296.0
970,280.0
971,253.0
972,235.0
973,219.0
974,197.0
975,185.0
976,208.0
977,251.0
978,267.0
979,221.0
980,178.0
981,199.0
982,242.0
983,273.0
984,246.0
985,261.0
986,300.0
987,324.0
988,329.0
989,338.0
990,344.0
991,340.0
992,335.0
993,335.0
994,338.0
995,342.0
996,347.0
997,349.0
