,Price for consumption [EUR/MWh] - MBA|DK2
0,28.32
1,10.07
2,-4.08
3,-9.91
4,-7.41
5,-12.55
6,-17.25
7,-15.07
8,-4.93
9,-6.33
10,-4.93
11,0.45
12,0.12
13,-0.02
14,0.0
15,-0.03
16,1.97
17,54.28
18,54.28
19,51.0
20,-6.98
21,-16.01
22,-4.87
23,43.0
24,-33.57
25,-45.92
26,-48.29
27,-33.6
28,-33.54
29,-17.79
30,-0.01
31,37.43
32,45.44
33,44.94
34,44.99
35,45.44
36,44.44
37,44.44
38,45.0
39,48.2
40,47.82
41,48.43
42,49.0
43,49.0
44,48.93
45,48.93
46,48.43
47,46.1
48,51.98
49,51.98
50,51.98
51,48.4
52,48.79
53,45.92
54,51.07
55,51.0
56,51.0
57,50.47
58,49.5
59,51.0
60,62.0
61,52.99
62,50.97
63,50.47
64,50.6
65,51.48
66,65.67
67,61.51
68,57.6
69,54.44
70,48.0
71,45.42
72,46.78
73,47.97
74,47.07
75,48.29
76,48.43
77,46.91
78,52.5
79,53.99
80,54.44
81,48.79
82,48.79
83,48.29
84,46.78
85,45.78
86,45.0
87,45.0
88,46.78
89,46.78
90,46.28
91,46.28
92,44.5
93,44.27
94,43.96
95,31.41
96,26.9
97,25.12
98,24.12
99,22.04
100,18.37
101,22.09
102,23.35
103,45.6
104,45.6
105,46.11
106,46.11
107,46.11
108,51.36
109,47.12
110,47.12
111,47.12
112,48.0
113,50.0
114,60.16
115,58.01
116,47.63
117,46.62
118,45.1
119,44.59
120,43.76
121,43.25
122,42.4
123,41.0
124,41.0
125,41.0
126,41.0
127,43.25
128,43.76
129,44.9
130,48.0
131,97.65
132,93.74
133,73.66
134,46.38
135,47.0
136,48.85
137,61.91
138,61.36
139,93.74
140,93.61
141,71.29
142,47.32
143,47.32
144,48.62
145,47.98
146,44.0
147,44.0
148,44.0
149,45.5
150,53.51
151,49.86
152,133.92
153,93.74
154,93.74
155,69.52
156,67.13
157,65.15
158,49.4
159,49.86
160,53.26
161,53.0
162,51.32
163,50.89
164,50.6
165,50.03
166,21.15
167,14.38
168,17.94
169,-13.12
170,7.78
171,14.33
172,18.56
173,50.83
174,35.81
175,43.87
176,46.93
177,53.57
178,53.96
179,53.96
180,43.94
181,43.21
182,43.81
183,3.35
184,6.7
185,52.94
186,52.94
187,37.94
188,51.81
189,51.8
190,51.8
191,50.39
192,20.04
193,7.24
194,3.43
195,10.04
196,14.2
197,25.41
198,36.98
199,43.89
200,50.98
201,47.07
202,47.07
203,45.8
204,43.64
205,43.49
206,93.76
207,47.58
208,53.82
209,55.94
210,54.19
211,49.63
212,48.09
213,48.09
214,54.0
215,52.8
216,52.5
217,53.5
218,53.5
219,51.48
220,51.44
221,53.0
222,59.0
223,90.0
224,90.0
225,81.79
226,71.45
227,71.56
228,76.39
229,75.0
230,76.06
231,75.4
232,76.78
233,83.45
234,85.15
235,78.16
236,49.11
237,48.64
238,44.5
239,42.97
240,42.0
241,46.58
242,42.52
243,42.52
244,44.05
245,44.05
246,46.61
247,60.53
248,60.02
249,51.22
250,51.22
251,49.69
252,50.2
253,46.3
254,45.46
255,42.2
256,45.93
257,51.51
258,50.44
259,49.64
260,48.93
261,48.34
262,47.54
263,45.03
264,47.24
265,51.2
266,51.2
267,49.22
268,42.03
269,50.6
270,50.6
271,50.6
272,50.6
273,50.6
274,53.3
275,53.0
276,50.32
277,46.66
278,46.66
279,46.66
280,46.66
281,50.76
282,48.0
283,46.5
284,46.5
