,Wind Offshore  - Actual Aggregated [MW]
0,265.0
1,340.0
2,272.0
3,214.0
4,208.0
5,208.0
6,208.0
7,210.0
8,369.0
9,369.0
10,350.0
11,341.0
12,327.0
13,326.0
14,306.0
15,327.0
16,324.0
17,248.0
18,364.0
19,368.0
20,368.0
21,220.0
22,366.0
23,210.0
24,208.0
25,208.0
26,206.0
27,174.0
28,185.0
29,208.0
30,361.0
31,361.0
32,361.0
33,359.0
34,355.0
35,359.0
36,361.0
37,360.0
38,359.0
39,335.0
40,286.0
41,284.0
42,312.0
43,309.0
44,203.0
45,155.0
46,145.0
47,166.0
48,217.0
49,263.0
50,218.0
51,233.0
52,194.0
53,188.0
54,165.0
55,205.0
56,163.0
57,129.0
58,114.0
59,102.0
60,86.0
61,88.0
62,69.0
63,75.0
64,84.0
65,52.0
66,66.0
67,33.0
68,29.0
69,32.0
70,8.0
71,41.0
72,94.0
73,167.0
74,237.0
75,335.0
76,311.0
77,326.0
78,349.0
79,339.0
80,311.0
81,333.0
82,334.0
83,325.0
84,300.0
85,182.0
86,111.0
87,161.0
88,220.0
89,318.0
90,332.0
91,317.0
92,315.0
93,322.0
94,340.0
95,317.0
96,324.0
97,308.0
98,261.0
99,272.0
100,270.0
101,268.0
102,263.0
103,211.0
104,152.0
105,85.0
106,89.0
107,71.0
108,64.0
109,81.0
110,79.0
111,76.0
112,63.0
113,42.0
114,27.0
115,19.0
116,13.0
117,5.0
118,3.0
119,0.0
120,1.0
121,1.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,1.0
131,1.0
132,0.0
133,5.0
134,2.0
135,0.0
136,1.0
137,5.0
138,20.0
139,33.0
140,37.0
141,32.0
142,35.0
143,44.0
144,51.0
145,17.0
146,18.0
147,66.0
148,69.0
149,62.0
150,53.0
151,47.0
152,60.0
153,57.0
154,71.0
155,96.0
156,87.0
157,119.0
158,71.0
159,94.0
160,203.0
161,319.0
162,370.0
163,371.0
164,371.0
165,371.0
166,367.0
167,360.0
168,370.0
169,368.0
170,363.0
171,369.0
172,365.0
173,366.0
174,369.0
175,366.0
176,361.0
177,358.0
178,363.0
179,365.0
180,368.0
181,370.0
182,365.0
183,370.0
184,369.0
185,367.0
186,365.0
187,370.0
188,371.0
189,370.0
190,358.0
191,350.0
192,350.0
193,350.0
194,350.0
195,350.0
196,346.0
197,345.0
198,347.0
199,345.0
200,349.0
201,345.0
202,349.0
203,347.0
204,341.0
205,326.0
206,332.0
207,337.0
208,335.0
209,332.0
210,299.0
211,208.0
212,147.0
213,133.0
214,126.0
215,114.0
216,74.0
217,46.0
218,55.0
219,37.0
220,27.0
221,24.0
222,27.0
223,25.0
224,25.0
225,30.0
226,16.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,3.0
233,17.0
234,37.0
235,53.0
236,85.0
237,119.0
238,164.0
239,231.0
240,288.0
241,289.0
242,270.0
243,259.0
244,250.0
245,277.0
246,300.0
247,315.0
248,340.0
249,337.0
250,333.0
251,340.0
252,339.0
253,332.0
254,324.0
255,289.0
256,245.0
257,214.0
258,188.0
259,159.0
260,158.0
261,153.0
262,124.0
263,125.0
264,162.0
265,186.0
266,190.0
267,213.0
268,227.0
269,132.0
270,206.0
271,253.0
272,276.0
273,299.0
274,313.0
275,311.0
276,313.0
277,354.0
278,357.0
279,359.0
280,362.0
281,364.0
282,364.0
283,363.0
284,355.0
285,360.0
286,360.0
287,356.0
288,346.0
289,350.0
290,341.0
291,310.0
292,278.0
293,309.0
294,355.0
295,351.0
296,340.0
297,316.0
298,367.0
299,370.0
300,369.0
301,368.0
302,370.0
303,369.0
304,369.0
305,369.0
306,371.0
307,370.0
308,371.0
309,371.0
310,371.0
311,371.0
312,369.0
313,244.0
314,219.0
315,222.0
316,364.0
317,365.0
318,371.0
319,370.0
320,368.0
321,370.0
322,367.0
323,367.0
324,367.0
325,367.0
326,367.0
327,366.0
328,367.0
329,368.0
330,368.0
331,368.0
332,354.0
333,336.0
334,320.0
335,350.0
336,362.0
337,366.0
338,365.0
339,346.0
340,362.0
341,358.0
342,358.0
343,360.0
344,322.0
345,327.0
346,351.0
347,355.0
348,353.0
349,361.0
350,365.0
351,365.0
352,365.0
353,367.0
354,368.0
355,365.0
356,351.0
357,364.0
358,367.0
359,357.0
360,293.0
361,308.0
362,363.0
363,358.0
364,351.0
365,354.0
366,361.0
367,324.0
368,280.0
369,264.0
370,237.0
371,256.0
372,254.0
373,325.0
374,331.0
375,356.0
376,360.0
377,366.0
378,368.0
379,370.0
380,371.0
381,371.0
382,371.0
383,371.0
384,371.0
385,369.0
386,368.0
387,328.0
388,331.0
389,304.0
390,353.0
391,369.0
392,367.0
393,366.0
394,364.0
395,368.0
396,367.0
397,366.0
398,361.0
399,360.0
400,281.0
401,166.0
402,206.0
403,174.0
404,244.0
405,311.0
406,353.0
407,335.0
408,339.0
409,279.0
410,217.0
411,99.0
412,64.0
413,119.0
414,62.0
415,23.0
416,24.0
417,83.0
418,156.0
419,281.0
420,278.0
421,256.0
422,216.0
423,217.0
424,164.0
425,108.0
426,80.0
427,81.0
428,85.0
429,101.0
430,121.0
431,123.0
432,100.0
433,99.0
434,94.0
435,67.0
436,42.0
437,32.0
438,25.0
439,17.0
440,20.0
441,22.0
442,19.0
443,26.0
444,37.0
445,21.0
446,8.0
447,2.0
448,2.0
449,1.0
450,2.0
451,8.0
452,13.0
453,8.0
454,14.0
455,11.0
456,6.0
457,4.0
458,2.0
459,3.0
460,4.0
461,4.0
462,1.0
463,1.0
464,1.0
465,2.0
466,2.0
467,1.0
468,1.0
469,1.0
470,3.0
471,7.0
472,12.0
473,9.0
474,14.0
475,11.0
476,15.0
477,25.0
478,32.0
479,59.0
480,76.0
481,73.0
482,82.0
483,114.0
484,142.0
485,167.0
486,192.0
487,281.0
488,321.0
489,342.0
490,318.0
491,331.0
492,259.0
493,252.0
494,267.0
495,281.0
496,305.0
497,269.0
498,262.0
499,256.0
500,213.0
501,186.0
502,169.0
503,140.0
504,122.0
505,82.0
506,58.0
507,36.0
508,12.0
509,4.0
510,24.0
511,63.0
512,69.0
513,48.0
514,40.0
515,60.0
516,72.0
517,71.0
518,126.0
519,151.0
520,193.0
521,254.0
522,318.0
523,343.0
524,339.0
525,325.0
526,333.0
527,292.0
528,265.0
529,235.0
530,187.0
531,173.0
532,169.0
533,166.0
534,179.0
535,180.0
536,171.0
537,123.0
538,61.0
539,50.0
540,54.0
541,41.0
542,50.0
543,77.0
544,94.0
545,103.0
546,93.0
547,90.0
548,111.0
549,108.0
550,102.0
551,92.0
552,78.0
553,71.0
554,57.0
555,41.0
556,35.0
557,33.0
558,32.0
559,31.0
560,28.0
561,35.0
562,27.0
563,19.0
564,13.0
565,9.0
566,5.0
567,5.0
568,11.0
569,5.0
570,1.0
571,0.0
572,1.0
573,3.0
574,4.0
575,2.0
576,2.0
577,6.0
578,12.0
579,8.0
580,1.0
581,3.0
582,10.0
583,2.0
584,18.0
585,47.0
586,77.0
587,71.0
588,56.0
589,63.0
590,73.0
591,78.0
592,84.0
593,75.0
594,84.0
595,124.0
596,161.0
597,200.0
598,200.0
599,179.0
600,125.0
601,127.0
602,107.0
603,70.0
604,34.0
605,31.0
606,40.0
607,30.0
608,29.0
609,28.0
610,39.0
611,51.0
612,53.0
613,67.0
614,60.0
615,44.0
616,21.0
617,26.0
618,59.0
619,70.0
620,74.0
621,97.0
622,137.0
623,161.0
624,156.0
625,190.0
626,238.0
627,229.0
628,228.0
629,235.0
630,265.0
631,262.0
632,238.0
633,229.0
634,209.0
635,259.0
636,210.0
637,145.0
638,156.0
639,206.0
640,191.0
641,218.0
642,205.0
643,213.0
644,222.0
645,228.0
646,178.0
647,125.0
648,107.0
649,71.0
650,83.0
651,96.0
652,76.0
653,129.0
654,126.0
655,42.0
656,39.0
657,61.0
658,59.0
659,53.0
660,44.0
661,39.0
662,17.0
663,4.0
664,3.0
665,4.0
666,8.0
667,55.0
668,119.0
669,140.0
670,166.0
671,216.0
672,201.0
673,193.0
674,200.0
675,214.0
676,179.0
677,120.0
678,91.0
679,110.0
680,94.0
681,118.0
682,102.0
683,128.0
684,119.0
685,137.0
686,170.0
687,105.0
688,96.0
689,142.0
690,122.0
691,233.0
692,257.0
693,204.0
694,178.0
695,146.0
696,75.0
697,39.0
698,31.0
699,33.0
700,53.0
701,62.0
702,105.0
703,131.0
704,169.0
705,186.0
706,231.0
707,227.0
708,198.0
709,179.0
710,266.0
711,346.0
712,340.0
713,345.0
714,348.0
715,363.0
716,365.0
717,366.0
718,364.0
719,359.0
720,350.0
721,338.0
722,321.0
723,264.0
724,232.0
725,227.0
726,241.0
727,236.0
728,226.0
729,189.0
730,121.0
731,102.0
732,87.0
733,89.0
734,91.0
735,52.0
736,26.0
737,13.0
738,17.0
739,50.0
740,47.0
741,47.0
742,45.0
743,74.0
744,44.0
745,30.0
746,34.0
747,58.0
748,99.0
749,114.0
750,124.0
751,166.0
752,229.0
753,298.0
754,297.0
755,281.0
756,265.0
757,212.0
758,191.0
759,138.0
760,139.0
761,141.0
762,96.0
763,65.0
764,41.0
765,34.0
766,19.0
767,29.0
768,26.0
769,16.0
770,19.0
771,24.0
772,34.0
773,65.0
774,84.0
775,62.0
776,59.0
777,57.0
778,65.0
779,53.0
780,69.0
781,123.0
782,126.0
783,95.0
784,69.0
785,54.0
786,51.0
787,55.0
788,57.0
789,74.0
790,67.0
791,34.0
792,39.0
793,77.0
794,78.0
795,117.0
796,112.0
797,78.0
798,81.0
799,119.0
800,93.0
801,78.0
802,62.0
803,93.0
804,110.0
805,107.0
806,117.0
807,92.0
808,66.0
809,31.0
810,18.0
811,8.0
812,8.0
813,13.0
814,14.0
815,21.0
816,38.0
817,41.0
818,40.0
819,49.0
820,52.0
821,67.0
822,91.0
823,192.0
824,277.0
825,332.0
826,354.0
827,358.0
828,356.0
829,356.0
830,363.0
831,369.0
832,369.0
833,369.0
834,369.0
835,369.0
836,368.0
837,367.0
838,367.0
839,366.0
840,365.0
841,364.0
842,364.0
843,363.0
844,355.0
845,350.0
846,355.0
847,365.0
848,367.0
849,369.0
850,366.0
851,359.0
852,364.0
853,366.0
854,365.0
855,367.0
856,365.0
857,361.0
858,338.0
859,300.0
860,317.0
861,305.0
862,258.0
863,275.0
864,193.0
865,135.0
866,70.0
867,69.0
868,78.0
869,97.0
870,168.0
871,200.0
872,203.0
873,267.0
874,291.0
875,302.0
876,286.0
877,287.0
878,250.0
879,287.0
880,285.0
881,297.0
882,255.0
883,181.0
884,172.0
885,121.0
886,93.0
887,98.0
888,84.0
889,113.0
890,95.0
891,129.0
892,131.0
893,183.0
894,139.0
895,177.0
896,234.0
897,264.0
898,326.0
899,326.0
900,365.0
901,368.0
902,370.0
903,368.0
904,367.0
905,366.0
906,370.0
907,371.0
908,371.0
909,370.0
910,368.0
911,369.0
912,358.0
913,356.0
914,368.0
915,370.0
916,361.0
917,352.0
